股票代碼,公司名稱,交易市場,發行股份總額,董監不足股數,營業收入,營業利益,業外收支,稅後純益,當期股本,每股純益,每股淨值,淨值佔總資產,流動比率
,,,（股）,（股）,"（TWD K）
上市、上櫃為2015年一至九月
興櫃公司則為2015年一至六月",,,,,（TWD）,（TWD）,（％）,
1232,大統益,上市,"159,974,915 ","900,718 ","13,366,089 ","787,013 ","67,300 ","693,034 ","1,599,749 ",4.33 ,21.45 ,77,4.41
1336,台翰,上櫃,"62,753,230 ","499,015 ","1,226,327 ","(162,866)","(152,691)","(128,547)","627,532 ",(2.05),22.84 ,52,0.95
1432,大魯閣,上市,"166,706,321 ","5,778 ","252,248 ","(176,142)","66,846 ","(33,987)","1,662,834 ",(0.21),13.20 ,41,1.01
1475,本盟光電,上市,"52,516,749 ","522,647 ","167,032 ","(46,842)","(10,694)","(37,776)","525,168 ",(0.72),5.04 ,47,0.37
1528,恩德,上市,"180,000,000 ","191,000 ","2,393,386 ","6,477 ","5,948 ","9,514 ","1,800,000 ",0.06 ,13.35 ,52,1.8
1762,中化合成,上市,"77,560,000 ","394,052 ","805,516 ","9,594 ","237,829 ","245,862 ","775,600 ",3.17 ,22.72 ,64,1.35
1780,立弘生化,興櫃,"94,600,000 ","946,000 ","286,507 ","41,142 ","(14,836)","23,518 ","946,000 ",0.25 ,10.73 ,66,3.4
2028,威致鋼鐵,上市,"542,858,000 ","1,596,771 ","4,521,918 ","(715,062)","(212,096)","(943,360)","3,428,580 ",(2.75),1.98 ,14,0.49
2035,唐榮公司,上櫃,"350,000,000 ","1,400,000 ","11,806,171 ","(871,980)","(843,611)","(799,297)","3,500,000 ",(2.28),16.21 ,30,1.01
2066,世德,上櫃,"36,502,870 ","360,000 ","975,463 ","193,939 ","238,478 ","187,022 ","360,402 ",5.19 ,27.55 ,77,3.32
2233,宇隆,上櫃,"49,214,766 ","704,822 ","1,449,009 ","231,622 ","245,449 ","179,573 ","492,148 ",3.65 ,43.50 ,79,3.59
2345,智邦科技,上市,"537,370,897 ","5,626 ","17,620,410 ","887,613 ","23,645 ","714,949 ","5,349,329 ",1.34 ,14.63 ,51,1.83
2374,佳能,上市,"282,677,745 ","246,193 ","14,561,282 ","489,479 ","425,142 ","601,556 ","2,828,310 ",1.34 ,30.20 ,51,1.45
