排    行    榜 -- 最近期,,,,,,,,,,
,,,,,,,,,,
,市場別,證期會,TEJ 產業別,交易所,會計,統一編號,國際證券,集團名,公司中文簡稱,公司英文簡稱
,,代碼,,產業別,月份,,編號,,,
,,,,,,,,,,
000016     富達證券,UNPUB,,30,17,6,ID 70814182,,無,富達證券,FIL Sec.
000018     東亞證券,UNPUB,,30,17,12,ID 28680464,,28970 AIG集團,東亞證券,BEA WMS
000019     摩根證券,UNPUB,,30,17,12,ID 80336386,,無,摩根證券,JPMF(T)L
000020     遠智證券,UNPUB,,30,17,12,ID 29039617,,1402  遠東集團,遠智證券,FEIS
000022     富蘭德林,UNPUB,,30,17,12,ID 54373596,,無,富蘭德林,Friendly
000055     德意志銀行,UNPUB,,28,,12,ID 22820256,,無,德意志銀行,Deutsche Bank A.G.
000080     匯豐銀行,UNPUB,,28,,12,ID 21203987,,28770 匯豐集團,匯豐銀行,HSBC
000081     全國農業金庫,UNPUB,,28,,12,ID 27253935,,1722  農委會,全國農業金庫,Agri Bank
000085     美銀台北,UNPUB,,30,17,12,ID 28418288,,無,美銀台北,BASAL Taipei
000091     美國銀行,UNPUB,,28,,12,ID 03306808,,無,美國銀行,BANA Taipei
000102     合庫證券,UNPUB,,30,17,12,ID 53021481,,5880  合庫金控集團,合庫證券,TCB Securities
000104     臺銀證券,PUB,,30,17,12,ID 28428390,,5858  台灣金控集團,臺銀證券,BankTaiwan Sec.
000109     工銀證,PUB,,30,17,12,ID 03407600,,2897  臺灣工銀集團,工銀證,IBTS
000116     日盛證券,PUB,,30,17,12,ID 03098908,TW0006014004,5820B 建高控股集團,日盛證券,Jih Sun Securities
000136     麥格理證券,UNPUB,,30,17,3,ID 89407381,,30136 麥格理證券,麥格理證券,Macquarie Sec.
000138     台灣東方匯理,UNPUB,,30,17,12,ID 54339872,,無,台灣東方匯理,CAST
000140     蘇皇證券,UNPUB,,30,17,12,ID 96973662,,30140 蘇皇集團,蘇皇證券,RBS Asia
000144     美林證券,UNPUB,,30,17,12,ID 28438670,,無,美林證券,Merrill Lynch
000147     台灣摩根士丹,UNPUB,,30,17,12,ID 27946368,,60147 大摩集團,台灣摩根士丹,TW Morgan Stanley
000148     高盛,UNPUB,,30,17,12,ID 70753158,,無,高盛,Goldman Sachs Asia
000152     瑞士信貸,UNPUB,,30,17,12,ID 16632755,,無,瑞士信貸,CS
000153     德意志證券,UNPUB,,30,17,12,ID 70800103,,無,德意志證券,Deutsche Sec. Asia
000154     雷曼兄弟證券,UNPUB,,30,17,11,ID 28426132,,無,雷曼兄弟證券,LBSTL
000156     港商野村,UNPUB,,30,17,3,ID 27246098,,無,港商野村,Nomura Int'l (HK)
000157     港商法興,UNPUB,,30,17,12,ID 80024525,,無,港商法興,SG Securities (HK)
000159     花旗環球,UNPUB,,30,17,12,ID 28419028,,無,花旗環球,CGM
000165     瑞銀證券(新),UNPUB,,30,17,12,ID 27934715,,無,瑞銀證券(新),UBS Securities Pte.
