,,  01  ,  02  ,  03  ,  04  ,  05  ,  06  ,  07  ,  08  ,  09  ,  10  ,  11  ,  12  ,  13  ,  14  ,  15  ,  16  ,  17  ,  18  ,  19  ,  20  ,  21  ,  22  ,  23  ,  24  ,  25  ,  26  ,  27  ,  28  ,  29  ,  30  ,  31  ,  32  ,  33  ,  34  ,  35  ,  36  ,  37  ,  38  ,  39  ,40,41,42,43,44,45,46,47,48,49,50,51,52,01-52
,,農產 ,畜產,林產,漁產,礦產,加工食品,飲料,菸,紡織品,成衣及服飾品,皮革、毛皮及其製品,木材及其製品,紙漿、紙及紙製品,印刷及資料儲存媒體複製,石油及煤製品,化學材料,化學製品,藥品,橡膠製品,塑膠製品,非金屬礦物製品,鋼鐵,其他金屬,金屬製品,電子零組件,電腦、電子及光學產品,電力設備,機械設備,汽車及其零件,其他運輸工具,家具,其他製品及機械修配,電力供應,燃氣供應,用水供應,污染整治,營造工程,批發及零售,運輸倉儲,住宿及餐飲,傳播服務,電信服務,資訊服務,金融及保險,不動產及住宅服務,專業、科學及技術服務,支援服務,公共行政；強制性社會安全,教育服務,醫療保健及社會工作服務,藝術、娛樂及休閒服務,其他服務,合計
  01  ,農產,1.210647 ,.313832 ,.002091 ,.063812 ,.001305 ,.417441 ,.077001 ,.010381 ,.065907 ,.030344 ,.094418 ,.003324 ,.003932 ,.002729 ,.001318 ,.001766 ,.004455 ,.023023 ,.004323 ,.004801 ,.002122 ,.001885 ,.002237 ,.002120 ,.001964 ,.002402 ,.002396 ,.002755 ,.002826 ,.002455 ,.005990 ,.008348 ,.001320 ,.001537 ,.001689 ,.003975 ,.002953 ,.003465 ,.003150 ,.115926 ,.003184 ,.001134 ,.002032 ,.001599 ,.000801 ,.003090 ,.002419 ,.003928 ,.002343 ,.003618 ,.009740 ,.006049 ,2.548302 
  02  ,畜產,.009405 ,1.241721 ,.001082 ,.033450 ,.000634 ,.309698 ,.028839 ,.000503 ,.011834 ,.006415 ,.067987 ,.001955 ,.001917 ,.001384 ,.000650 ,.000956 ,.002753 ,.011108 ,.001405 ,.002257 ,.000984 ,.000971 ,.001182 ,.001102 ,.000954 ,.001229 ,.001227 ,.001451 ,.001510 ,.001206 ,.003158 ,.004550 ,.000661 ,.000758 ,.000718 ,.002145 ,.001076 ,.001850 ,.001648 ,.064178 ,.001716 ,.000550 ,.001084 ,.000854 ,.000394 ,.001572 ,.000731 ,.001773 ,.001113 ,.001822 ,.006585 ,.002647 ,1.849349 
  03  ,林產,.001454 ,.001652 ,1.051143 ,.001632 ,.002595 ,.001294 ,.001076 ,.000413 ,.001594 ,.001268 ,.003392 ,.137658 ,.008790 ,.002502 ,.002303 ,.001625 ,.001827 ,.000913 ,.133660 ,.002444 ,.001591 ,.001343 ,.000991 ,.001399 ,.001173 ,.001126 ,.001536 ,.003653 ,.003693 ,.005480 ,.017463 ,.005716 ,.001988 ,.002562 ,.000717 ,.000896 ,.006222 ,.000519 ,.001942 ,.000813 ,.001333 ,.000452 ,.000370 ,.000210 ,.000488 ,.000847 ,.000813 ,.000378 ,.000385 ,.000534 ,.000597 ,.002078 ,1.428541 
  04  ,漁產,.000113 ,.009167 ,.000075 ,1.047194 ,.000040 ,.016335 ,.001512 ,.000031 ,.000169 ,.000152 ,.003578 ,.000120 ,.000109 ,.000085 ,.000041 ,.000059 ,.000158 ,.000573 ,.000068 ,.000138 ,.000061 ,.000063 ,.000078 ,.000072 ,.000060 ,.000080 ,.000080 ,.000095 ,.000092 ,.000077 ,.000183 ,.000245 ,.000041 ,.000048 ,.000046 ,.000144 ,.000070 ,.000126 ,.000108 ,.004415 ,.000114 ,.000038 ,.000074 ,.000059 ,.000027 ,.000103 ,.000047 ,.000207 ,.000069 ,.000107 ,.000464 ,.000185 ,1.087395 
  05  ,礦產,.080700 ,.090178 ,.048307 ,.318517 ,1.251270 ,.111483 ,.127578 ,.037896 ,.312411 ,.183401 ,.193242 ,.129320 ,.213100 ,.156507 ,1.053734 ,.596257 ,.349888 ,.126696 ,.267578 ,.366698 ,.385966 ,.453700 ,.254065 ,.235407 ,.182568 ,.150329 ,.185280 ,.216720 ,.165258 ,.165144 ,.215806 ,.175038 ,.851656 ,1.176712 ,.107495 ,.115215 ,.228001 ,.062741 ,.325644 ,.098030 ,.072147 ,.042295 ,.039546 ,.020190 ,.027683 ,.076571 ,.072898 ,.037824 ,.039793 ,.066102 ,.054092 ,.072039 ,12.386715 
  06  ,加工食品,.008994 ,.726420 ,.004707 ,.156258 ,.002712 ,1.474034 ,.135229 ,.001953 ,.012603 ,.011006 ,.321251 ,.008833 ,.008059 ,.005952 ,.002796 ,.004181 ,.012558 ,.043118 ,.004644 ,.009353 ,.004153 ,.004235 ,.005198 ,.004815 ,.004055 ,.005326 ,.005319 ,.006352 ,.006615 ,.005136 ,.013682 ,.019859 ,.002854 ,.003262 ,.003132 ,.009466 ,.004655 ,.008153 ,.007243 ,.284455 ,.007570 ,.002419 ,.004779 ,.003778 ,.001736 ,.006852 ,.003195 ,.007905 ,.004945 ,.007513 ,.030894 ,.011680 ,3.455890 
  07  ,飲料,.000091 ,.000877 ,.000126 ,.000114 ,.000062 ,.000455 ,1.013231 ,.000051 ,.000135 ,.000162 ,.000207 ,.000138 ,.000121 ,.000124 ,.000063 ,.000080 ,.000120 ,.000541 ,.000097 ,.000203 ,.000095 ,.000103 ,.000129 ,.000118 ,.000090 ,.000127 ,.000132 ,.000150 ,.000120 ,.000123 ,.000191 ,.000161 ,.000060 ,.000075 ,.000069 ,.000226 ,.000115 ,.000222 ,.000173 ,.007039 ,.000373 ,.000076 ,.000128 ,.000108 ,.000054 ,.000229 ,.000082 ,.000501 ,.000220 ,.000139 ,.005987 ,.000725 ,1.035134 
  08  ,菸,.000002 ,.000006 ,.000007 ,.000004 ,.000004 ,.000006 ,.000005 ,1.043007 ,.000007 ,.000009 ,.000008 ,.000008 ,.000007 ,.000007 ,.000004 ,.000005 ,.000007 ,.000034 ,.000006 ,.000012 ,.000005 ,.000006 ,.000007 ,.000007 ,.000005 ,.000008 ,.000008 ,.000009 ,.000007 ,.000007 ,.000011 ,.000009 ,.000003 ,.000004 ,.000004 ,.000014 ,.000007 ,.000013 ,.000010 ,.000456 ,.000016 ,.000004 ,.000008 ,.000006 ,.000003 ,.000011 ,.000004 ,.000012 ,.000007 ,.000008 ,.000195 ,.000026 ,1.044056 
  09  ,紡織品,.002914 ,.004020 ,.003883 ,.049258 ,.005372 ,.005101 ,.004527 ,.001347 ,1.500861 ,.643540 ,.072114 ,.004498 ,.026167 ,.011583 ,.004958 ,.004373 ,.007866 ,.016228 ,.061926 ,.028176 ,.009961 ,.004546 ,.003511 ,.004809 ,.008619 ,.006379 ,.006276 ,.005900 ,.009418 ,.010015 ,.029175 ,.048911 ,.005203 ,.005625 ,.003713 ,.004428 ,.005549 ,.002812 ,.005734 ,.010582 ,.006061 ,.001357 ,.001708 ,.000958 ,.000803 ,.005876 ,.002403 ,.001781 ,.001768 ,.003917 ,.003609 ,.008384 ,2.688504 
  10  ,成衣及服飾品,.000159 ,.000145 ,.001255 ,.000264 ,.000170 ,.000173 ,.000151 ,.000057 ,.000381 ,1.068271 ,.000623 ,.000280 ,.000159 ,.000162 ,.000162 ,.000145 ,.000155 ,.000353 ,.000353 ,.000437 ,.000242 ,.000163 ,.000143 ,.000267 ,.000307 ,.000234 ,.000152 ,.000203 ,.000145 ,.000226 ,.001357 ,.000790 ,.000232 ,.000199 ,.000121 ,.000190 ,.000676 ,.000137 ,.000253 ,.002666 ,.000436 ,.000102 ,.000109 ,.000085 ,.000098 ,.000910 ,.000089 ,.000540 ,.000305 ,.000165 ,.000277 ,.000148 ,1.085821 
  11  ,皮革、毛皮及其製品,.000054 ,.000139 ,.000044 ,.000303 ,.000183 ,.000208 ,.000205 ,.000032 ,.000554 ,.001083 ,1.218081 ,.000274 ,.000187 ,.000162 ,.000181 ,.000195 ,.000180 ,.000132 ,.000169 ,.001133 ,.000175 ,.000211 ,.000195 ,.000738 ,.000210 ,.000267 ,.000258 ,.000959 ,.007569 ,.000567 ,.021876 ,.004422 ,.000255 ,.000213 ,.000280 ,.000269 ,.000282 ,.000078 ,.000380 ,.000119 ,.000674 ,.000065 ,.000078 ,.000046 ,.000039 ,.000246 ,.000172 ,.000261 ,.000140 ,.000149 ,.000203 ,.000479 ,1.265377 
