個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,資產總額,現金,央行及同業拆放,金融資產(公平價值),應收款項,買匯貼現放款,金融資產(備供出售),金融資產(持有到期),固定資產,其他資產,負債及淨值,央行同業拆借,應付款項,郵匯局轉存款,存款及匯款,金融債券,總行及國外聯行拆放,其他負債,淨值,資本,公積,保留盈餘,權益調整數,存放銀行同業,存放央行,買入票證券,長期投資
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M"
Dec-15,"251,050","3,915","8,583","43,233","5,438","129,161","29,000","9,850","2,725","19,147","251,050","36,831",-,0,"155,578","14,950",-,"13,901","29,791","23,905",2,"4,774",-,-,-,-,-
Nov-15,"244,969","3,015","11,526","42,175","4,404","125,057","27,224","9,850","2,644","19,074","244,969","32,973",-,0,"154,395","13,950",-,"14,053","29,598","23,905",2,"4,665",-,-,-,-,-
Oct-15,"247,039","3,307","14,032","39,942","4,238","127,197","26,590","9,850","2,641","19,242","247,039","40,401",-,0,"150,080","13,950",-,"13,217","29,391","23,905",2,"4,557",-,-,-,-,-
Sep-15,"254,602","3,382","18,384","40,466","5,664","127,479","25,037","9,850","2,615","21,726","254,602","44,766",-,0,"148,596","13,950",-,"18,090","29,200","23,905",2,"4,450",-,-,-,-,-
Aug-15,"249,334","3,433","13,901","40,891","3,722","127,397","25,096","9,850","2,683","22,360","249,334","44,772",-,0,"144,570","13,950",-,"17,207","28,834","23,905",2,"4,222",-,-,-,-,-
Jul-15,"235,917","2,121","13,416","36,847","4,895","124,317","23,425","9,850","2,661","18,385","235,917","37,103",-,0,"139,661","13,950",-,"16,417","28,786","23,905",2,"4,318",-,-,-,-,-
Jun-15,"234,489","2,124","13,333","35,483","5,208","125,012","22,866","9,850","2,642","17,970","234,489","37,858",-,0,"137,951","14,980",-,"15,126","28,574","23,905",0,"4,158",-,-,-,-,-
May-15,"234,193","2,857","15,125","36,945","3,610","122,846","22,687","9,450","2,642","18,030","234,193","29,425",-,0,"145,910","14,980",-,"14,536","29,342","23,905",0,"4,939",-,-,-,-,-
Apr-15,"235,521","3,018","15,412","35,984","6,614","121,537","21,998","9,450","2,642","18,867","235,521","24,358",-,0,"149,968","14,980",-,"17,023","29,192","23,905",0,"4,771",-,-,-,-,-
Mar-15,"237,212","2,143","14,329","38,259","5,595","122,760","22,290","9,449","2,640","19,746","237,212","24,703",-,0,"148,741","14,980",-,"19,578","29,209","23,905",0,"4,550",-,-,-,-,-
Feb-15,"230,327","2,692","14,728","37,281","3,276","120,604","19,929","9,449","2,645","19,722","230,327","23,261",-,0,"146,355","14,980",-,"16,665","29,066","23,905",0,"4,353",-,-,-,-,-
Jan-15,"233,382","3,064","15,777","38,750","4,861","117,426","21,521","9,449","2,641","19,893","233,382","20,332",-,0,"149,786","14,980",-,"19,388","28,895","23,905",0,"4,215",-,-,-,-,-
Dec-14,"230,883","5,273","17,810","40,791","2,927","117,878","20,153","4,499","2,639","18,912","230,883","31,346",-,0,"141,241","14,980",-,"14,663","28,652","23,905",0,"3,903",-,-,-,-,-
Nov-14,"221,529","3,700","13,154","39,027","5,434","120,208","18,870",0,"2,603","18,533","221,529","31,178",-,0,"131,939","14,980",-,"15,198","28,235","23,905",0,"3,804",-,-,-,-,-
Oct-14,"216,932","4,675","9,705","39,485","4,133","120,693","18,271",0,"2,604","17,367","216,932","37,617",-,0,"125,386","13,480",-,"12,570","27,880","23,905",0,"3,681",-,-,-,-,-
Sep-14,"220,558","6,015","11,033","40,622","2,254","120,978","18,570",0,"2,604","18,482","220,558","32,340",-,0,"131,732","13,480",-,"15,187","27,819","23,905",0,"3,592",-,-,-,-,-
