個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,營收總計,利息收入,手續費及佣金收入--銀,金融利益(公平價值),其他營業收入,營業支出總計,利息支出,手續費佣金支出--銀行,金融損失(公平價值),用人費用,其他營業支出,營業外損益,稅前盈餘,營業利益,買賣債票券利益,出售證券利益--銀行,租賃收入--信投公司,買賣證券利益--信投,不動產開發收入--信投,手續費佣金收入--信投,信託報酬--信投公司,買賣債券利益--票金,手續費收入--票金公司,收益分配--信投公司,不動產開發成本--信投,各項提存及損失--信投,撥補信託資金虧損,業務及管理費用,買賣票券損失--票金,買賣債券損失--票金,手續費支出--票金公司
,,,,,,,,,,,,,,,,,,,,,,,,,,,信託投資公司,,,,
,"NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M",,"NTD, M","NTD, M","NTD, M","NTD, M"
Dec-15,"12,820","3,357",578,"7,778","1,107","10,815","1,618",26,"7,292",919,959,0,"2,005","2,005",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov-15,"11,862","3,057",523,"7,022","1,259","9,965","1,487",22,"6,790",832,835,0,"1,897","1,897",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct-15,"10,384","2,777",494,"6,039","1,075","8,611","1,362",20,"5,698",755,776,0,"1,773","1,773",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep-15,"10,779","2,502",448,"6,943",886,"9,131","1,231",19,"6,516",687,679,0,"1,648","1,648",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aug-15,"10,894","2,213",399,"7,584",699,"9,503","1,098",17,"7,195",598,595,0,"1,392","1,391",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jul-15,"7,672","1,902",359,"3,822","1,590","6,217",955,17,"4,118",549,578,0,"1,456","1,455",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jun-15,"6,349","1,610",318,"3,206","1,216","5,054",817,13,"3,253",469,502,0,"1,295","1,295",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
May-15,"5,971","1,338",259,"3,158","1,217","4,870",685,12,"3,338",391,445,0,"1,101","1,101",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Apr-15,"4,546","1,058",207,"2,607",674,"3,638",547,9,"2,380",317,384,0,908,908,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mar-15,"4,921",798,170,"2,929","1,024","4,269",413,8,"3,345",235,268,0,652,652,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Feb-15,"3,302",525,130,"2,166",480,"2,882",271,7,"2,278",155,172,0,420,420,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jan-15,"2,999",266,108,"2,171",455,"2,745",144,4,"2,416",82,100,0,255,254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dec-14,"11,282","2,963",466,"6,340","1,514","9,375","1,586",36,"5,972",806,974,0,"1,908","1,907",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov-14,"9,651","2,675",427,"5,310","1,239","7,862","1,430",32,"4,806",748,845,0,"1,789","1,789",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct-14,"8,262","2,402",404,"4,373","1,083","6,613","1,284",27,"3,844",683,775,0,"1,649","1,649",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep-14,"7,874","2,137",386,"4,432",918,"6,326","1,145",25,"3,804",624,726,0,"1,548","1,548",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aug-14,"5,866","1,871",305,"2,973",717,"4,454","1,009",24,"2,275",557,588,0,"1,413","1,412",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jul-14,"5,347","1,615",262,"2,846",625,"4,093",880,22,"2,218",489,484,0,"1,254","1,254",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
