個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,營收總計,利息收入,手續費及佣金,金融利益(公平價值),其他營業收入,營業支出總計,利息支出,手續費及,金融損失(公平價值),用人費用,其他營業支出,營業外損益,稅前盈餘,營業利益,買賣債票券利益,出售證券利益
,,,收入,,,,,佣金支出,,,,,,,,
,"NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M"
Dec-15,"5,193",584,70,"4,170",369,"4,883",266,0,"4,253",64,299,0,311,310,-,-
Nov-15,"4,913",534,67,"3,857",456,"4,441",243,0,"4,135",0,62,0,472,472,-,-
Oct-15,"4,543",487,63,"3,604",389,"4,045",224,0,"3,751",0,70,0,498,498,-,-
Sep-15,"4,606",445,45,"3,812",305,"4,124",206,0,"3,851",0,67,0,482,482,-,-
Aug-15,"4,965",395,40,"4,276",254,"4,576",185,0,"4,315",0,77,0,389,389,-,-
Jul-15,"3,478",335,36,"2,299",809,"3,185",164,0,"3,011",0,10,0,293,293,-,-
Jun-15,"2,797",281,31,"1,903",582,"2,510",133,0,"2,361",0,16,0,287,287,-,-
May-15,"2,744",234,18,"1,938",554,"2,600",111,0,"2,482",0,7,0,143,144,-,-
Apr-15,"2,011",188,13,"1,578",233,"1,808",89,0,"1,710",0,9,0,203,203,-,-
Mar-15,"2,574",144,8,"1,781",640,"2,487",69,0,"2,400",0,19,0,87,87,-,-
Feb-15,"1,646",95,6,"1,263",282,"1,576",45,0,"1,516",0,15,0,70,70,-,-
Jan-15,"1,645",50,4,"1,291",301,"1,586",24,0,"1,556",0,6,0,60,59,-,-
Dec-14,"4,221",620,82,"3,194",324,"3,940",363,12,"3,435",70,59,0,281,281,-,-
Nov-14,"3,516",558,78,"2,702",178,"3,138",331,12,"2,748",0,47,0,378,378,-,-
Oct-14,"2,978",499,70,"2,159",250,"2,491",297,8,"2,142",0,44,0,487,487,-,-
Sep-14,"2,792",446,72,"2,119",154,"2,324",270,8,"1,997",0,49,0,468,468,-,-
Aug-14,"1,758",390,62,"1,261",45,"1,290",239,8,"1,010",0,33,0,468,468,-,-
Jul-14,"1,630",342,49,"1,217",22,"1,226",213,8,978,0,27,0,404,404,-,-
Jun-14,"1,627",292,43,"1,292",0,"1,236",184,8,"1,054",0,-10,0,391,391,-,-
