個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,活期性存款,定期性存款,外匯存款總和,儲存會金,公庫存款,月底存款合計,月底存款月變動率,月底存款市場占有率,月底存款,去年同期存款,存款占有率--,月平均存款,月平均存款月變動率,月平均存款,存款占有率--全體,去年月平均存款
,,,,,,,％,％--分國內外,成長率％,,％--全體銀行,,％,成長率％,月平均％,
,"NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M",,,,"NTD, M",,"NTD, M",,,,"NTD, M"
Dec-15,"7,398","95,737","52,441",-,0,"155,576",0.78,0.45,10.15,"141,240",0.44,"155,555",3.83,15.48,0.45,"134,708"
Nov-15,"10,651","90,660","53,062",-,0,"154,373",2.87,0.46,17.01,"131,934",0.44,"149,816",0.56,16.64,0.43,"128,447"
Oct-15,"7,322","92,448","50,300",-,0,"150,071",1,0.44,19.69,"125,385",0.43,"148,979",2,14.05,0.43,"130,629"
Sep-15,"7,333","93,142","48,107",-,0,"148,583",2.78,0.44,12.79,"131,732",0.42,"146,063",2.65,14.88,0.42,"127,146"
Aug-15,"6,960","86,189","51,411",-,0,"144,560",3.51,0.43,18.7,"121,790",0.41,"142,294",0,18.94,0.42,"119,630"
Jul-15,"6,926","84,553","48,181",-,0,"139,659",1.24,0.42,22.82,"113,710",0.4,"142,301",1.06,26.22,0.42,"112,743"
Jun-15,"6,725","86,791","44,434",-,0,"137,950",-5.45,0.42,17.51,"117,391",0.4,"140,808",-3.67,20.87,0.42,"116,494"
May-15,"6,956","92,244","46,709",-,0,"145,908",-2.71,0.44,23.36,"118,282",0.43,"146,176",-0.06,22.21,0.43,"119,609"
Apr-15,"6,035","95,638","48,294",-,0,"149,967",0.82,0.46,24.31,"120,636",0.44,"146,262",-0.36,23.81,0.44,"118,137"
Mar-15,"8,774","94,626","45,340",-,0,"148,740",1.64,0.46,26.15,"117,911",0.44,"146,792",-0.15,32.89,0.44,"110,465"
