個  股  總  覽 -- 2897 臺工銀,,,,,,,
,,,,,,,
,一般定存,ＣＤ定存,定存合計,定存月變動率,定存合計,定存合計--全體,定存合計去年同期
,,,,％,成長率％,占有率％,
,"NTD, M","NTD, M","NTD, M",,,,"NTD, M"
Dec-15,"63,387","32,350","95,737",5.6,8.67,0.71,"88,095"
Nov-15,"60,760","29,900","90,660",-1.93,13.55,0.67,"79,838"
Oct-15,"62,548","29,900","92,448",-0.75,20.89,0.68,"76,473"
Sep-15,"64,292","28,850","93,142",8.07,17.67,0.69,"79,153"
Aug-15,"61,139","25,050","86,189",1.94,9.17,0.64,"78,948"
Jul-15,"63,353","21,200","84,553",-2.58,18.66,0.63,"71,255"
Jun-15,"60,591","26,200","86,791",-5.91,15.92,0.65,"74,869"
May-15,"68,144","24,100","92,244",-3.55,21.52,0.69,"75,909"
Apr-15,"74,038","21,600","95,638",1.07,19.54,0.71,"80,002"
Mar-15,"88,026","6,600","94,626",1.4,22.87,0.71,"77,012"
Feb-15,"93,322",0,"93,322",-0.66,35.8,0.7,"68,723"
Jan-15,"93,944",0,"93,944",6.64,36.63,0.71,"68,756"
Dec-14,"88,095",0,"88,095",10.34,28.07,0.67,"68,787"
Nov-14,"79,838",0,"79,838",4.4,24.89,0.61,"63,928"
Oct-14,"76,473",0,"76,473",-3.39,12.32,0.58,"68,083"
Sep-14,"79,153",0,"79,153",0.26,21.26,0.61,"65,273"
Aug-14,"78,948",0,"78,948",10.8,22.1,0.6,"64,660"
Jul-14,"71,255",0,"71,255",-4.83,13.22,0.54,"62,936"
Jun-14,"74,869",0,"74,869",-1.37,18.6,0.57,"63,125"
May-14,"75,909",0,"75,909",-5.12,26.66,0.57,"59,929"
Apr-14,"80,002",0,"80,002",3.88,21.51,0.6,"65,839"
Mar-14,"77,012",0,"77,012",12.06,11.76,0.58,"68,907"
Feb-14,"68,723",0,"68,723",-0.05,3.36,0.52,"66,489"
Jan-14,"68,756",0,"68,756",-0.05,15.82,0.52,"59,364"
Dec-13,"68,787",0,"68,787",7.6,1.17,0.52,"67,992"
Nov-13,"63,928",0,"63,928",-6.1,-8.87,0.48,"70,151"
Oct-13,"68,083",0,"68,083",4.3,-2.05,0.51,"69,505"
Sep-13,"65,273",0,"65,273",0.95,-2.39,0.49,"66,874"
Aug-13,"64,660",0,"64,660",2.74,-5.98,0.49,"68,774"
Jul-13,"62,936",0,"62,936",-0.3,-5.92,0.47,"66,895"
Jun-13,"63,125",0,"63,125",5.33,-9.69,0.47,"69,897"
May-13,"59,929",0,"59,929",-8.98,-14.69,0.45,"70,253"
Apr-13,"65,839",0,"65,839",-4.45,-7.46,0.5,"71,145"
Mar-13,"68,907",0,"68,907",3.64,-4.08,0.52,"71,836"
Feb-13,"66,489",0,"66,489",12,-8.92,0.5,"73,003"
Jan-13,"59,364",0,"59,364",-12.69,-15.06,0.45,"69,890"
Dec-12,"67,992",0,"67,992",-3.08,2.58,0.52,"66,284"
Nov-12,"70,151",0,"70,151",0.93,11.74,0.53,"62,783"
Oct-12,"69,505",0,"69,505",3.94,18.92,0.53,"58,447"
Sep-12,"66,874",0,"66,874",-2.76,15.88,0.51,"57,708"
Aug-12,"68,774",0,"68,774",2.81,24.3,0.52,"55,329"
Jul-12,"66,895",0,"66,895",-4.29,26.76,0.51,"52,772"
Jun-12,"69,897",0,"69,897",-0.51,17.88,0.53,"59,293"
May-12,"70,253",0,"70,253",-1.25,15.92,0.53,"60,604"
Apr-12,"71,145",0,"71,145",-0.96,19.7,0.54,"59,436"
Mar-12,"71,836",0,"71,836",-1.6,37.48,0.54,"52,251"
Feb-12,"73,003",0,"73,003",4.45,29.76,0.56,"56,260"
Jan-12,"69,890",0,"69,890",5.44,23.02,0.54,"56,812"
Dec-11,"66,284",0,"66,284",5.58,21.19,0.51,"54,693"
Nov-11,"62,783",0,"62,783",7.42,27.89,0.49,"49,090"
Oct-11,"58,447",0,"58,447",1.28,17.23,0.46,"49,858"
Sep-11,"57,708",0,"57,708",4.3,3.68,0.46,"55,658"
Aug-11,"55,329",0,"55,329",4.85,1,0.44,"54,783"
Jul-11,"52,772",0,"52,772",-11,0.13,0.42,"52,706"
Jun-11,"59,293",0,"59,293",-2.16,8.52,0.47,"54,637"
May-11,"60,604",0,"60,604",1.96,10.11,0.49,"55,041"
Apr-11,"59,436",0,"59,436",13.75,13.02,0.48,"52,591"
Mar-11,"52,251",0,"52,251",-7.13,-2.28,0.42,"53,472"
Feb-11,"56,260",0,"56,260",-0.97,16.6,0.46,"48,252"
Jan-11,"56,812",0,"56,812",3.88,9.29,0.47,"51,982"
Dec-10,"54,693",0,"54,693",11.41,4.7,0.45,"52,235"
Nov-10,"49,090",0,"49,090",-1.54,9.4,0.4,"44,872"
Oct-10,"49,858",0,"49,858",-10.42,4.66,0.41,"47,637"
Sep-10,"55,658",0,"55,658",1.6,13.64,0.46,"48,976"
Aug-10,"54,783",0,"54,783",3.94,14.38,0.45,"47,894"
Jul-10,"52,706",0,"52,706",-3.53,18.8,0.43,"44,366"
Jun-10,"54,637",0,"54,637",-0.73,12.04,0.45,"48,767"
May-10,"55,041",0,"55,041",4.66,10.66,0.45,"49,737"
Apr-10,"52,591",0,"52,591",-1.65,6.13,0.43,"49,553"
Mar-10,"53,472",0,"53,472",10.82,3.28,0.44,"51,776"
Feb-10,"48,252",0,"48,252",-7.17,-14.16,0.4,"56,213"
Jan-10,"51,982",0,"51,982",-0.49,-12.1,0.44,"59,136"
Dec-09,"52,235",0,"52,235",16.41,0.41,0.44,"52,020"
Nov-09,"44,872",0,"44,872",-5.8,-16.55,0.38,"53,775"
Oct-09,"47,637",0,"47,637",-2.73,-9.47,0.4,"52,620"
Sep-09,"48,976",0,"48,976",2.26,23.61,0.41,"39,622"
Aug-09,"47,894",0,"47,894",7.95,17.77,0.4,"40,667"
Jul-09,"44,366",0,"44,366",-9.03,0.23,0.37,"44,264"
Jun-09,"48,767",0,"48,767",-1.95,18.93,0.4,"41,004"
May-09,"49,737",0,"49,737",0.37,8.37,0.41,"45,894"
Apr-09,"49,553",0,"49,553",-4.29,7.86,0.4,"45,940"
Mar-09,"51,776",0,"51,776",-7.89,18.39,0.42,"43,734"
Feb-09,"56,213",0,"56,213",-4.94,48.64,0.45,"37,818"
Jan-09,"59,136",0,"59,136",13.68,57.21,0.47,"37,617"
Dec-08,"52,020",0,"52,020",-3.26,41.4,0.42,"36,789"
Nov-08,"53,775",0,"53,775",2.19,44.91,0.43,"37,109"
Oct-08,"52,620",0,"52,620",32.81,67.72,0.43,"31,374"
Sep-08,"39,622",0,"39,622",-2.57,62.17,0.34,"24,433"
Aug-08,"40,667",0,"40,667",-8.13,42.81,0.35,"28,476"
Jul-08,"44,264",0,"44,264",7.95,51.63,0.38,"29,193"
Jun-08,"41,004",0,"41,004",-10.65,3.24,0.35,"39,716"
May-08,"45,894",0,"45,894",-0.1,29.05,0.39,"35,563"
Apr-08,"45,940",0,"45,940",5.04,34.5,0.39,"34,158"
Mar-08,"43,734",0,"43,734",15.64,37.41,0.38,"31,827"
Feb-08,"37,818",0,"37,818",0.54,27.34,0.33,"29,699"
Jan-08,"37,617",0,"37,617",2.25,23.6,0.34,"30,435"
