個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,
,,,,,,,,,,,,
,CD發行額,CD流通餘額,CD持有額,ＣＤ發行月變動率,ＣＤ餘額月變動率,ＣＤ持有月變動率,CD發行額,CD流通餘額,CD持有額,CD發行去年同期,CD餘額去年同期,CD持有去年同期
,,,,％,％,％,成長率％,成長率％,成長率％,,,
,"NTD, M","NTD, M","NTD, M",,,,,,,"NTD, M","NTD, M","NTD, M"
Dec-15,0,"32,350","43,421",0,8.19,-,0,0,-,0,0,"36,984"
Nov-15,0,"29,900","42,116",0,0,-,0,0,-,0,0,"32,458"
Oct-15,0,"29,900","40,815",0,3.64,-,0,0,-,0,0,"34,583"
Sep-15,0,"28,850","39,068",0,15.17,-,0,0,-,0,0,"33,881"
Aug-15,0,"25,050","39,257",0,18.16,-,0,0,-,0,0,"34,469"
Jul-15,0,"21,200","39,629",0,-19.08,-,0,0,-,0,0,"32,068"
Jun-15,0,"26,200","39,545",0,8.71,-,0,0,-,0,0,"31,511"
May-15,0,"24,100","39,242",0,11.57,-,0,0,-,0,0,"31,515"
Apr-15,0,"21,600","38,513",0,227.27,-,0,0,-,0,0,"30,097"
Mar-15,0,"6,600","38,330",0,0,-,0,0,-,0,0,"27,898"
Feb-15,0,0,"37,933",0,0,-,0,0,-,0,0,"27,899"
Jan-15,0,0,"37,932",0,0,-,0,0,-,0,0,"27,899"
Dec-14,0,0,"36,984",0,0,-,0,0,-,0,0,"23,700"
Nov-14,0,0,"32,458",0,0,-,0,0,-,0,0,"23,399"
Oct-14,0,0,"34,583",0,0,-,0,0,-,0,0,"23,599"
Sep-14,0,0,"33,881",0,0,-,0,0,-,0,0,"23,699"
Aug-14,0,0,"34,469",0,0,-,0,0,-,0,0,"23,699"
Jul-14,0,0,"32,068",0,0,-,0,0,-,0,0,"24,199"
Jun-14,0,0,"31,511",0,0,-,0,0,-,0,0,"23,899"
May-14,0,0,"31,515",0,0,-,0,0,-,0,0,"23,884"
Apr-14,0,0,"30,097",0,0,-,0,0,-,0,0,"26,984"
Mar-14,0,0,"27,898",0,0,-,0,0,-,0,0,"27,084"
Feb-14,0,0,"27,899",0,0,-,0,0,-,0,0,"25,684"
Jan-14,0,0,"27,899",0,0,-,0,0,-,0,0,"26,584"
Dec-13,0,0,"23,700",0,0,-,0,0,-,0,0,"26,383"
Nov-13,0,0,"23,399",0,0,-,0,0,-,0,0,"28,682"
Oct-13,0,0,"23,599",0,0,-,0,0,-,0,0,"30,182"
Sep-13,0,0,"23,699",0,0,-,0,0,-,0,0,"28,982"
Aug-13,0,0,"23,699",0,0,-,0,0,-,0,0,"29,183"
Jul-13,0,0,"24,199",0,0,-,0,0,-,0,0,"32,883"
Jun-13,0,0,"23,899",0,0,-,0,0,-,0,0,"32,584"
May-13,0,0,"23,884",0,0,-,0,0,-,0,0,"36,999"
