個  股  總  覽 -- 2897 臺工銀,,,,,,,
,,,,,,,
,外匯活存,外匯定存,外匯存款合計,外匯存款月變動率,外匯存款,外匯存款--全體,外匯存款去年同期
,,,,％,成長率％,占有率％,
,"NTD, M","NTD, M","NTD, M",,,,"NTD, M"
Dec-15,"17,157","35,284","52,441",-1.17,12.51,0.63,"46,609"
Nov-15,"16,519","36,544","53,062",5.49,13.54,0.65,"46,734"
Oct-15,"15,625","34,675","50,300",4.56,19.37,0.62,"42,140"
Sep-15,"14,052","34,055","48,107",-6.43,4.85,0.6,"45,883"
Aug-15,"16,394","35,017","51,411",6.7,42.63,0.64,"36,044"
Jul-15,"13,924","34,256","48,181",8.43,34.25,0.62,"35,888"
Jun-15,"11,807","32,627","44,434",-4.87,17.17,0.58,"37,923"
May-15,"11,649","35,060","46,709",-3.28,25.92,0.61,"37,093"
Apr-15,"12,653","35,640","48,294",6.51,35.59,0.64,"35,618"
Mar-15,"10,846","34,494","45,340",-4.49,25.85,0.6,"36,027"
Feb-15,"13,928","33,542","47,470",-1.87,47.7,0.64,"32,140"
Jan-15,"12,898","35,478","48,376",3.79,52.38,0.66,"31,748"
Dec-14,"11,577","35,031","46,609",-0.27,34.92,0.63,"34,545"
Nov-14,"9,350","37,384","46,734",10.9,60.39,0.66,"29,137"
Oct-14,"9,178","32,962","42,140",-8.16,64.57,0.62,"25,606"
Sep-14,"9,397","36,485","45,883",27.3,74.57,0.68,"26,284"
Aug-14,"8,021","28,023","36,044",0.44,42.34,0.54,"25,323"
Jul-14,"6,470","29,418","35,888",-5.37,30.23,0.54,"27,557"
Jun-14,"7,986","29,937","37,923",2.24,62.15,0.58,"23,387"
May-14,"6,278","30,815","37,093",4.14,52.63,0.57,"24,303"
Apr-14,"6,762","28,856","35,618",-1.14,32.9,0.55,"26,801"
Mar-14,"6,921","29,106","36,027",12.09,27.01,0.57,"28,366"
Feb-14,"6,478","25,662","32,140",1.24,58.46,0.52,"20,282"
Jan-14,"5,934","25,813","31,748",-8.1,63.42,0.53,"19,427"
Dec-13,"6,800","27,745","34,545",18.56,75.07,0.57,"19,732"
Nov-13,"9,597","19,539","29,137",13.79,43.27,0.5,"20,336"
Oct-13,"6,950","18,656","25,606",-2.58,35.46,0.45,"18,903"
Sep-13,"8,959","17,325","26,284",3.79,31.15,0.47,"20,040"
Aug-13,"9,173","16,150","25,323",-8.11,33.72,0.46,"18,937"
Jul-13,"9,508","18,049","27,557",17.83,57.38,0.51,"17,509"
Jun-13,"7,480","15,907","23,387",-3.77,48.2,0.44,"15,781"
May-13,"7,498","16,806","24,303",-9.32,49.85,0.46,"16,218"
Apr-13,"8,730","18,070","26,801",-5.52,64.3,0.51,"16,312"
Mar-13,"12,849","15,517","28,366",39.86,88.87,0.55,"15,019"
Feb-13,"6,907","13,375","20,282",4.4,43.32,0.4,"14,151"
Jan-13,"6,235","13,192","19,427",-1.55,26.6,0.39,"15,345"
Dec-12,"6,941","12,792","19,732",-2.97,30.76,0.4,"15,090"
Nov-12,"7,726","12,610","20,336",7.58,32.7,0.42,"15,325"
Oct-12,"6,704","12,199","18,903",-5.68,16.91,0.4,"16,169"
Sep-12,"9,031","11,009","20,040",5.83,37.3,0.42,"14,596"
Aug-12,"5,378","13,559","18,937",8.15,11.49,0.4,"16,986"
Jul-12,"2,725","14,784","17,509",10.95,32.18,0.38,"13,246"
Jun-12,"2,455","13,325","15,781",-2.7,-0.42,0.34,"15,846"
May-12,"2,004","14,214","16,218",-0.58,13.34,0.35,"14,309"
Apr-12,"1,881","14,432","16,312",8.61,23.84,0.36,"13,172"
Mar-12,"2,068","12,951","15,019",6.13,-7.27,0.33,"16,196"
Feb-12,"2,446","11,705","14,151",-7.78,16.75,0.31,"12,122"
Jan-12,"2,627","12,719","15,345",1.69,21.61,0.33,"12,618"
Dec-11,"2,856","12,233","15,090",-1.53,58.79,0.33,"9,503"
Nov-11,"1,928","13,397","15,325",-5.22,16.15,0.34,"13,194"
Oct-11,"1,967","14,202","16,169",10.78,48.18,0.36,"10,912"
Sep-11,"1,104","13,492","14,596",-14.07,32.13,0.33,"11,046"
Aug-11,"1,678","15,308","16,986",28.23,42.65,0.41,"11,907"
Jul-11,"1,930","11,317","13,246",-16.41,-12.51,0.32,"15,140"
Jun-11,"1,806","14,040","15,846",10.75,13.31,0.38,"13,985"
May-11,"1,507","12,802","14,309",8.63,35.2,0.35,"10,583"
Apr-11,"1,968","11,204","13,172",-18.67,44.27,0.32,"9,130"
Mar-11,"1,912","14,284","16,196",33.62,84.37,0.4,"8,785"
Feb-11,"2,326","9,795","12,122",-3.93,38.04,0.3,"8,781"
Jan-11,"1,451","11,167","12,618",32.78,43.19,0.31,"8,812"
Dec-10,"1,251","8,252","9,503",-27.98,-3.1,0.22,"9,807"
Nov-10,"2,598","10,596","13,194",20.92,56,0.31,"8,458"
Oct-10,"1,511","9,401","10,912",-1.22,39,0.26,"7,850"
Sep-10,"1,081","9,966","11,046",-7.23,24.23,0.27,"8,892"
Aug-10,"1,144","10,763","11,907",-21.35,-8.19,0.3,"12,969"
Jul-10,"2,045","13,095","15,140",8.26,37.33,0.38,"11,024"
Jun-10,"1,960","12,024","13,985",32.14,50.55,0.36,"9,289"
May-10,"1,938","8,645","10,583",15.92,25.9,0.27,"8,406"
Apr-10,"1,348","7,782","9,130",3.93,-12.18,0.23,"10,396"
Mar-10,"1,937","6,848","8,785",0.04,-17.29,0.22,"10,621"
Feb-10,"1,139","7,642","8,781",-0.35,-21.21,0.22,"11,145"
Jan-10,"1,342","7,470","8,812",-10.15,-19.16,0.22,"10,901"
Dec-09,"1,499","8,307","9,807",15.95,36.43,0.24,"7,188"
Nov-09,"1,359","7,099","8,458",7.74,27.15,0.21,"6,652"
Oct-09,765,"7,085","7,850",-11.71,-12.44,0.2,"8,966"
Sep-09,"1,210","7,682","8,892",-31.44,-3.48,0.22,"9,212"
Aug-09,"1,926","11,043","12,969",17.64,62.23,0.32,"7,994"
Jul-09,"1,638","9,386","11,024",18.68,42.39,0.27,"7,743"
Jun-09,"1,394","7,895","9,289",10.5,-6.57,0.23,"9,942"
May-09,818,"7,588","8,406",-19.14,-21.83,0.21,"10,754"
Apr-09,904,"9,492","10,396",-2.12,27.43,0.25,"8,158"
Mar-09,894,"9,728","10,621",-4.7,-4.05,0.26,"11,070"
Feb-09,"1,017","10,128","11,145",2.24,32.72,0.27,"8,398"
Jan-09,689,"10,212","10,901",51.64,-5.03,0.28,"11,478"
Dec-08,"1,019","6,170","7,188",8.06,-51.38,0.18,"14,785"
Nov-08,722,"5,930","6,652",-25.81,-49.91,0.17,"13,279"
Oct-08,627,"8,338","8,966",-2.68,-54.36,0.24,"19,644"
Sep-08,796,"8,416","9,212",15.24,-38.12,0.25,"14,887"
Aug-08,670,"7,324","7,994",3.25,-22.41,0.23,"10,302"
Jul-08,903,"6,839","7,743",-22.12,-21.4,0.23,"9,850"
Jun-08,"1,232","8,710","9,942",-7.55,-0.89,0.3,"10,032"
May-08,"1,329","9,425","10,754",31.81,-4.84,0.32,"11,301"
Apr-08,"1,146","7,012","8,158",-26.3,-37.01,0.24,"12,951"
