    羆  凝 -- 2897 籓蝗,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,やそめ计,やそ緇肂,やめ计,や緇肂,やㄤめ计,やㄤ緇肂,や璸め计,や璸緇肂,や布蹿め计,や布蹿緇肂,や璸め计,や璸緇肂,そめ计戳,そ緇肂戳,め计戳,緇肂戳,ㄤめ计戳,ㄤ緇肂戳,璸め计戳,璸緇肂戳,やそめ计,やそ緇肂,やめ计,や緇肂,やㄤめ计,やㄤ緇肂
,(め),,(め),,(め),,(め),,る跑笆瞯,る跑笆瞯,Θ瞯,Θ瞯,(め),,(め),,(め),,(め),,Θ瞯,Θ瞯,Θ瞯,Θ瞯,Θ瞯,Θ瞯
,,"NTD, M",,"NTD, M",,"NTD, M",,"NTD, M",,,,,,"NTD, M",,"NTD, M",,"NTD, M",,"NTD, M",,,,,,
Dec-15,162,103,0,0,0,0,162,103,-1.82,52.03,-10.5,22.31,181,85,0,0,0,0,181,85,-10.5,21.18,0,0,0,0
Nov-15,165,68,0,0,0,0,165,68,-0.6,-24.56,-8.84,-10.72,181,76,0,0,0,0,181,76,-8.84,-10.53,0,0,0,0
Oct-15,166,90,0,0,0,0,166,90,-1.19,-17.62,-8.29,-27.92,181,125,0,0,0,0,181,125,-8.29,-28,0,0,0,0
Sep-15,168,109,0,0,0,0,168,109,-1.18,-4.3,-7.18,7.1,181,102,0,0,0,0,181,102,-7.18,6.86,0,0,0,0
Aug-15,170,114,0,0,0,0,170,114,-1.73,108.38,-6.08,27.37,181,90,0,0,0,0,181,90,-6.08,26.67,0,0,0,0
Jul-15,173,55,0,0,0,0,173,55,-0.57,-17.33,-4.95,-36.87,182,87,0,0,0,0,182,87,-4.95,-36.78,0,0,0,0
Jun-15,174,66,0,0,0,0,174,66,0.58,12.99,-3.87,-55.31,181,149,0,0,0,0,181,149,-3.87,-55.7,0,0,0,0
May-15,173,59,0,0,0,0,173,59,-0.57,-18.8,-4.42,-50.84,181,120,0,0,0,0,181,120,-4.42,-50.83,0,0,0,0
Apr-15,174,72,0,0,0,0,174,72,0,13.56,-5.43,-14.93,184,85,0,0,0,0,184,85,-5.43,-15.29,0,0,0,0
Mar-15,174,64,0,0,0,0,174,64,-2.79,-6.76,-5.43,-32.03,184,94,0,0,0,0,184,94,-5.43,-31.91,0,0,0,0
Feb-15,179,68,0,0,0,0,179,68,-0.56,-17.04,-2.19,-25.11,183,91,0,0,0,0,183,91,-2.19,-25.27,0,0,0,0
Jan-15,180,82,0,0,0,0,180,82,-0.55,-2.57,-2.17,-9.68,184,91,0,0,0,0,184,91,-2.17,-9.89,0,0,0,0
Dec-14,181,85,0,0,0,0,181,85,0,10.97,-1.63,-22.19,184,109,0,0,0,0,184,109,-1.63,-22.02,0,0,0,0
Nov-14,181,76,0,0,0,0,181,76,0,-39.09,-2.69,-22.34,186,98,0,0,0,0,186,98,-2.69,-22.45,0,0,0,0
Oct-14,181,125,0,0,0,0,181,125,0,22.4,-2.69,66.72,186,75,0,0,0,0,186,75,-2.69,66.67,0,0,0,0
Sep-14,181,102,0,0,0,0,181,102,0,13.81,-2.16,56.34,185,65,0,0,0,0,185,65,-2.16,56.92,0,0,0,0
Aug-14,181,90,0,0,0,0,181,90,-0.55,3.28,-3.21,-42.91,187,157,0,0,0,0,187,157,-3.21,-42.68,0,0,0,0
Jul-14,182,87,0,0,0,0,182,87,0.55,-41.47,-1.62,8.71,185,80,0,0,0,0,185,80,-1.62,8.75,0,0,0,0
Jun-14,181,149,0,0,0,0,181,149,0,24.29,-3.21,-0.68,187,150,0,0,0,0,187,150,-3.21,-0.67,0,0,0,0
May-14,181,120,0,0,0,0,181,120,-1.63,40.5,-4.23,110.29,189,57,0,0,0,0,189,57,-4.23,110.53,0,0,0,0
Apr-14,184,85,0,0,0,0,184,85,0,-9.26,-3.16,15.08,190,74,0,0,0,0,190,74,-3.16,14.86,0,0,0,0
Mar-14,184,94,0,0,0,0,184,94,0.55,2.73,-3.16,-17.11,190,113,0,0,0,0,190,113,-3.16,-16.81,0,0,0,0
Feb-14,183,91,0,0,0,0,183,91,-0.54,0.06,-3.17,37.86,189,66,0,0,0,0,189,66,-3.17,37.88,0,0,0,0
Jan-14,184,91,0,0,0,0,184,91,0,-16.07,-2.65,-50.27,189,183,0,0,0,0,189,183,-2.65,-50.27,0,0,0,0
Dec-13,184,109,0,0,0,0,184,109,-1.08,10.75,-2.65,-50.82,189,221,0,0,0,0,189,221,-2.65,-50.68,0,0,0,0
Nov-13,186,98,0,0,0,0,186,98,0,30.76,-1.59,18.8,189,83,0,0,0,0,189,83,-1.59,18.07,0,0,0,0
Oct-13,186,75,0,0,0,0,186,75,0.54,14.77,-2.62,-8.95,191,82,0,0,0,0,191,82,-2.62,-8.54,0,0,0,0
Sep-13,185,65,0,0,0,0,185,65,-1.07,-58.44,-3.14,-40.41,191,110,0,0,0,0,191,110,-3.14,-40.91,0,0,0,0
Aug-13,187,157,0,0,0,0,187,157,1.08,96.67,-2.6,39.53,192,113,0,0,0,0,192,113,-2.6,38.94,0,0,0,0
Jul-13,185,80,0,0,0,0,185,80,-1.07,-46.53,-3.65,-59.61,192,198,0,0,0,0,192,198,-3.65,-59.6,0,0,0,0
Jun-13,187,150,0,0,0,0,187,150,-1.06,163.17,-2.6,31.26,192,114,0,0,0,0,192,114,-2.6,31.58,0,0,0,0
May-13,189,57,0,0,0,0,189,57,-0.53,-23.11,-1.56,-63.2,192,155,0,0,0,0,192,155,-1.56,-63.23,0,0,0,0
Apr-13,190,74,0,0,0,0,190,74,0,-34.64,-0.52,29.69,191,57,0,0,0,0,191,57,-0.52,29.82,0,0,0,0
Mar-13,190,113,0,0,0,0,190,113,0.53,70.85,0.53,-16.24,189,135,0,0,0,0,189,135,0.53,-16.3,0,0,0,0
Feb-13,189,66,0,0,0,0,189,66,0,-63.9,1.61,29.75,186,51,0,0,0,0,186,51,1.61,29.41,0,0,0,0
Jan-13,189,183,0,0,0,0,189,183,0,-17,1.61,154.3,186,72,0,0,0,0,186,72,1.61,154.17,0,0,0,0
Dec-12,189,221,0,0,0,0,189,221,0,167.54,1.07,59.72,187,138,0,0,0,0,187,138,1.07,60.14,0,0,0,0
Nov-12,189,83,0,0,0,0,189,83,-1.05,0.22,-0.53,22.04,190,68,0,0,0,0,190,68,-0.53,22.06,0,0,0,0
Oct-12,191,82,0,0,0,0,191,82,0,-24.89,0.53,46.75,190,56,0,0,0,0,190,56,0.53,46.43,0,0,0,0
Sep-12,191,110,0,0,0,0,191,110,-0.52,-2.69,1.6,-29.3,188,155,0,0,0,0,188,155,1.6,-29.03,0,0,0,0
Aug-12,192,113,0,0,0,0,192,113,0,-43.07,1.59,13.91,189,99,0,0,0,0,189,99,1.59,14.14,0,0,0,0
Jul-12,192,198,0,0,0,0,192,198,0,73.79,0.52,145.33,191,81,0,0,0,0,191,81,0.52,144.44,0,0,0,0
