個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,
,,,,,,,,,,,,
,逾期放款- 國內分行,放款- 國內分行,逾放比- 國內分行,逾期放款- OBU,放款- OBU,逾放比- OBU,逾期放款- 國外分行,放款- 國外分行,逾放比- 國外分行,逾期放款- 大陸分行,放款- 大陸分行,逾放比- 大陸分行
,(百萬元),(百萬元),(%),(百萬元),(百萬元),(%),(百萬元),(百萬元),(%),(百萬元),(百萬元),(%)
,"NTD, M","NTD, M",%,"NTD, M","NTD, M",%,"NTD, M","NTD, M",%,"NTD, M","NTD, M",%
Jan-16,358,"92,874",0.39,0,"16,106",0,0,"23,131",0,0,0,0
Dec-15,358,"90,629",0.39,0,"16,516",0,0,"22,373",0,0,0,0
Nov-15,358,"88,122",0.41,0,"16,624",0,0,"20,669",0,0,0,0
Oct-15,358,"89,585",0.4,0,"17,989",0,0,"19,981",0,0,0,0
Sep-15,358,"90,527",0.4,0,"17,967",0,0,"19,342",0,0,0,0
Aug-15,358,"89,989",0.4,0,"18,467",0,0,"19,299",0,0,0,0
Jul-15,358,"87,100",0.41,0,"18,770",0,33,"18,838",0.17,0,0,0
Jun-15,358,"88,691",0.4,0,"19,249",0,0,"17,430",0,0,0,0
May-15,358,"88,106",0.41,0,"18,110",0,0,"16,988",0,0,0,0
Apr-15,358,"86,374",0.41,0,"18,746",0,0,"16,775",0,0,0,0
Mar-15,358,"85,518",0.42,0,"20,427",0,0,"17,173",0,0,0,0
Feb-15,427,"83,514",0.51,0,"19,140",0,0,"15,438",0,0,0,0
Jan-15,397,"84,659",0.47,0,"18,826",0,0,"14,339",0,0,0,0
Dec-14,397,"86,539",0.46,0,"17,902",0,0,"13,835",0,0,0,0
Nov-14,427,"85,155",0.5,25,"19,839",0.13,0,"15,667",0,0,0,0
Oct-14,427,"85,206",0.5,0,"19,333",0,0,"16,580",0,0,0,0
Sep-14,427,"85,511",0.5,0,"19,837",0,0,"16,057",0,0,0,0
Aug-14,427,"83,514",0.51,0,"19,140",0,0,"15,438",0,0,0,0
Jul-14,427,"82,700",0.52,0,"18,318",0,0,"15,388",0,0,0,0
Jun-14,427,"82,778",0.52,0,"17,737",0,0,"14,812",0,0,0,0
May-14,427,"80,165",0.53,0,"16,662",0,0,"12,943",0,0,0,0
Apr-14,427,"78,229",0.55,0,"16,771",0,0,"12,799",0,0,0,0
Mar-14,492,"78,285",0.63,0,"17,940",0,0,"12,698",0,0,0,0
Feb-14,493,"77,133",0.64,0,"15,985",0,0,"13,200",0,0,0,0
Jan-14,493,"76,871",0.64,34,"17,238",0.2,0,"12,624",0,0,0,0
Dec-13,492,"73,900",0.67,33,"18,165",0.18,0,"12,545",0,0,0,0
Nov-13,492,"70,708",0.7,120,"17,150",0.7,0,"7,844",0,0,0,0
Oct-13,461,"69,999",0.66,119,"16,130",0.74,0,"9,067",0,0,0,0
Sep-13,533,"70,201",0.76,160,"15,323",1.04,0,"7,733",0,0,0,0
Aug-13,533,"68,255",0.78,74,"14,184",0.52,0,"6,772",0,0,0,0
Jul-13,533,"66,960",0.8,74,"13,561",0.55,0,"6,941",0,0,0,0
Jun-13,533,"66,371",0.8,74,"12,439",0.6,0,"6,809",0,0,0,0
May-13,568,"62,820",0.9,94,"11,574",0.81,0,"6,464",0,0,0,0
Apr-13,568,"62,642",0.91,92,"12,402",0.75,0,"6,720",0,0,0,0
