個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,存款,放款(不含催收),放款總額,放款總額(衍生),本期損益(累計),逾放金額,逾放比率,備抵呆帳,備抵呆帳/逾放金額,應予觀察放款,應予觀察放款/放款,帳列淨值,資本,內部融資餘額,廣義逾放比
,,,,,,,％,,％,,％,,,,％
,"NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M",,"NTD, M",,"NTD, M",,"NTD, M","NTD, M","NTD, M",
Jan-16,"154,688",-,-,"132,111",171,-,-,"2,250",628.65,-,-,"30,029",-,-,0.27
Dec-15,"155,576",-,-,"129,519","2,005",358,0.28,"2,185",610.48,0,0,"29,791",-,-,0.28
Nov-15,"154,373",-,-,"125,415","1,897",358,0.28,"2,293",640.66,0,0,-,-,-,0.29
Oct-15,"150,071",-,-,"127,555","1,773",358,0.28,"2,292",640.39,0,0,"29,391",-,-,0.28
Sep-15,"148,583",-,-,"127,836","1,648",358,0.28,"2,291",640.22,0,0,"29,200",-,-,0.28
Aug-15,"144,560",-,-,"127,755","1,392",358,0.28,"2,254",629.66,0,0,"28,834",-,-,0.28
Jul-15,"139,659",-,-,"124,708","1,456",391,0.31,"2,332",597.04,0,0,"28,786",-,-,0.31
Jun-15,"137,950",-,-,"125,370","1,295",358,0.29,"2,321",648.41,0,0,"28,574",-,-,0.29
May-15,"145,908",-,-,"123,204","1,101",336,0.27,"2,353",657.41,22,0.02,"29,342",-,-,0.29
Apr-15,"149,967",-,-,"121,894",908,336,0.28,"2,362",659.97,22,0.02,"29,192",-,-,0.29
Mar-15,"148,740",-,-,"123,118",652,336,0.27,"2,314",646.57,22,0.02,"29,209",-,-,0.29
Feb-15,"146,341",-,-,"120,941",420,336,0.28,"2,284",679.24,0,0,"29,066",-,-,0.28
Jan-15,"149,779",-,-,"117,824",255,397,0.34,"2,278",573.28,0,0,"28,895",-,-,0.34
Dec-14,"141,240",-,-,"118,275","1,908",397,0.34,"2,223",559.47,0,0,"28,652",-,-,0.34
Nov-14,"131,934",-,-,"120,660","1,789",427,0.35,"2,257",499.92,25,0.02,"28,235",-,-,0.37
Oct-14,"125,385",-,-,"121,120","1,649",427,0.35,"2,238",524.5,0,0,"27,880",-,-,0.35
Sep-14,"131,732",-,-,"121,405","1,548",427,0.35,"2,247",526.64,0,0,"27,819",-,-,0.35
Aug-14,"121,790",-,-,"118,092","1,413",427,0.36,"2,182",511.37,0,0,"27,647",-,-,0.36
Jul-14,"113,710",-,-,"116,406","1,254",427,0.37,"2,146",503.08,0,0,"27,570",-,-,0.37
Jun-14,"117,391",-,-,"115,327","1,106",427,0.37,"2,135",500.31,0,0,"27,615",-,-,0.37
May-14,"118,282",-,-,"109,770","1,017",427,0.39,"2,044",479.1,0,0,"27,988",-,-,0.39
Apr-14,"120,636",-,-,"107,799",800,427,0.4,"1,995",467.62,0,0,"27,613",-,-,0.4
Mar-14,"117,911",-,-,"108,923",605,492,0.45,"2,107",428.52,0,0,"27,487",-,-,0.45
Feb-14,"105,730",-,-,"106,318",402,493,0.46,"2,058",417.61,0,0,"27,280",-,-,0.46
Jan-14,"105,499",-,-,"106,732",202,527,0.49,"2,018",383.18,0,0,"27,014",-,-,0.49
Dec-13,"108,020",-,-,"104,610","1,308",495,0.47,"2,010",382.47,31,0.03,"26,724",-,-,0.5
Nov-13,"97,501",-,-,"95,702","1,294",494,0.52,"1,906",311.4,118,0.12,"26,660",-,-,0.64
Oct-13,"99,509",-,-,"95,197","1,117",494,0.52,"1,892",326.01,86,0.09,"26,580",-,-,0.61
Sep-13,"97,613",-,-,"93,257",974,606,0.65,"1,997",288.25,87,0.09,"26,440",-,-,0.74
Aug-13,"95,431",-,-,"89,211",839,607,0.68,"1,990",328.02,0,0,"26,309",-,-,0.68
Jul-13,"95,989",-,-,"87,462",719,607,0.69,"1,975",325.38,0,0,"26,240",-,-,0.69
Jun-13,"92,213",-,-,"85,619",602,579,0.68,"1,944",320.28,28,0.03,"26,263",-,-,0.71
May-13,"89,901",-,-,"80,858",566,540,0.67,"2,079",314.1,122,0.15,"26,994",-,-,0.82
Apr-13,"97,586",-,-,"81,764",399,540,0.66,"1,978",299.39,120,0.15,"26,751",-,-,0.81
Mar-13,"104,012",-,-,"82,123",337,540,0.66,"1,922",327.36,47,0.06,"26,732",-,-,0.71
Feb-13,"91,875",-,-,"82,502",236,540,0.66,"1,888",349.42,0,0,"26,595",-,-,0.66
Jan-13,"84,154",-,-,"81,906",167,540,0.66,"1,853",342.82,0,0,"26,435",-,-,0.66
Dec-12,"93,709",-,-,"80,957",110,540,0.67,"1,771",327.65,0,0,"26,237",-,-,0.67
