個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,衍生性商品契約合計,衍生性商品佔有率,衍生性商品(交易),衍生性商品(非交易),利率契約(交易),利率契約(非交易),匯率契約(交易),匯率契約(非交易),權益契約(交易),權益契約(非交易),商品契約(交易),商品契約(非交易),信用契約(交易),信用契約(非交易),其他契約(交易),其他契約(非交易)
,,,,,,,,,,,,,,,,
,"USD, M",%,"USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M"
Dec-15,"13,292",1.09,"13,292",0,807,0,"12,484",0,0,0,0,0,0,0,0,0
Nov-15,"15,480",1.24,"15,480",0,603,0,"14,878",0,0,0,0,0,0,0,0,0
Oct-15,"19,174",1.51,"19,174",0,597,0,"18,576",0,0,0,0,0,0,0,0,0
Sep-15,"20,954",1.64,"20,954",0,592,0,"20,362",0,0,0,0,0,0,0,0,0
Aug-15,"24,140",1.77,"24,140",0,597,0,"23,544",0,0,0,0,0,0,0,0,0
Jul-15,"23,060",1.71,"23,060",0,585,0,"22,475",0,0,0,0,0,0,0,0,0
Jun-15,"22,432",1.7,"22,432",0,514,0,"21,917",0,0,0,0,0,0,0,0,0
May-15,"23,590",1.83,"23,590",0,517,0,"23,073",0,0,0,0,0,0,0,0,0
Apr-15,"22,533",1.73,"22,533",0,529,0,"22,004",0,0,0,0,0,0,0,0,0
Mar-15,"20,511",1.6,"20,511",0,530,0,"19,981",0,0,0,0,0,0,0,0,0
Feb-15,"20,708",1.63,"20,708",0,539,0,"20,169",0,0,0,0,0,0,0,0,0
Jan-15,"22,339",1.74,"22,339",0,540,0,"21,799",0,0,0,0,0,0,0,0,0
Dec-14,"18,670",1.51,"18,670",0,545,0,"18,125",0,0,0,0,0,0,0,0,0
Nov-14,"20,155",1.59,"20,155",0,557,0,"19,598",0,0,0,0,0,0,0,0,0
Oct-14,"21,508",1.66,"21,508",0,561,0,"20,946",0,0,0,0,0,0,0,0,0
Sep-14,"21,912",1.7,"21,912",0,565,0,"21,347",0,0,0,0,0,0,0,0,0
Aug-14,"19,492",1.56,"19,492",0,486,0,"19,006",0,0,0,0,0,0,0,0,0
Jul-14,"17,338",1.39,"17,338",0,262,0,"17,077",0,0,0,0,0,0,0,0,0
Jun-14,"15,521",1.23,"15,521",0,446,0,"15,074",0,0,0,0,0,0,0,0,0
May-14,"17,094",1.31,"17,094",0,378,0,"16,716",0,0,0,0,0,0,0,0,0
Apr-14,"18,668",1.4,"18,668",0,276,0,"18,392",0,0,0,0,0,0,0,0,0
Mar-14,"19,101",1.42,"19,101",0,326,0,"18,775",0,0,0,0,0,0,0,0,0
Feb-14,"17,079",1.28,"17,079",0,309,0,"16,770",0,0,0,0,0,0,0,0,0
Jan-14,"15,707",1.23,"15,707",0,311,0,"15,396",0,0,0,0,0,0,0,0,0
Dec-13,"10,813",1.03,"10,813",0,349,0,"10,464",0,0,0,0,0,0,0,0,0
Nov-13,"12,425",1.13,"12,425",0,368,0,"12,057",0,0,0,0,0,0,0,0,0
Oct-13,"13,750",1.24,"13,750",0,380,0,"13,370",0,0,0,0,0,0,0,0,0
Sep-13,"12,524",1.16,"12,524",0,399,0,"12,125",0,0,0,0,0,0,0,0,0
Aug-13,"12,511",1.16,"12,511",0,414,0,"12,097",0,0,0,0,0,0,0,0,0
Jul-13,"13,067",1.23,"13,067",0,377,0,"12,690",0,0,0,0,0,0,0,0,0
Jun-13,"11,829",1.14,"11,829",0,270,0,"11,559",0,0,0,0,0,0,0,0,0
May-13,"11,075",1.06,"11,075",0,277,0,"10,798",0,0,0,0,0,0,0,0,0
Apr-13,"10,434",1.05,"10,434",0,280,0,"10,154",0,0,0,0,0,0,0,0,0
Mar-13,"9,069",0.94,"9,069",0,296,0,"8,773",0,0,0,0,0,0,0,0,0
Feb-13,"9,205",0.98,"9,205",0,341,0,"8,865",0,0,0,0,0,0,0,0,0
Jan-13,"7,925",0.85,"7,925",0,352,0,"7,574",0,0,0,0,0,0,0,0,0
Dec-12,"5,408",0.64,"5,408",0,344,0,"5,065",0,0,0,0,0,0,0,0,0
Nov-12,"5,659",0.64,"5,659",0,362,0,"5,297",0,0,0,0,0,0,0,0,0
Oct-12,"5,634",0.64,"5,634",0,362,0,"5,272",0,0,0,0,0,0,0,0,0
Sep-12,"5,270",0.61,"5,270",0,367,0,"4,904",0,0,0,0,0,0,0,0,0
Aug-12,"5,298",0.62,"5,298",0,372,0,"4,927",0,0,0,0,0,0,0,0,0
Jul-12,"5,307",0.61,"5,307",0,382,0,"4,926",0,0,0,0,0,0,0,0,0
Jun-12,"5,250",0.61,"5,250",0,415,0,"4,835",0,0,0,0,0,0,0,0,0
May-12,"5,151",0.59,"5,151",0,430,0,"4,722",0,0,0,0,0,0,0,0,0
Apr-12,"5,357",0.63,"5,357",0,430,0,"4,927",0,0,0,0,0,0,0,0,0
Mar-12,"5,225",0.62,"5,225",0,411,0,"4,814",0,0,0,0,0,0,0,0,0
Feb-12,"5,248",0.63,"5,248",0,401,0,"4,847",0,0,0,0,0,0,0,0,0
Jan-12,"5,004",0.65,"5,004",0,404,0,"4,601",0,0,0,0,0,0,0,0,0
Dec-11,"4,743",0.64,"4,743",0,393,0,"4,350",0,0,0,0,0,0,0,0,0
Nov-11,"5,008",0.65,"5,008",0,393,0,"4,614",0,0,0,0,0,0,0,0,0
Oct-11,"4,688",0.59,"4,688",0,437,0,"4,251",0,0,0,0,0,0,0,0,0
Sep-11,"4,709",0.59,"4,709",0,426,0,"4,282",0,0,0,0,0,0,0,0,0
Aug-11,"4,314",0.54,"4,314",0,437,0,"3,878",0,0,0,0,0,0,0,0,0
Jul-11,"3,960",0.51,"3,960",0,421,0,"3,539",0,0,0,0,0,0,0,0,0
