個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,
,,,,,,,,,,,,
,衍生性商品契約合計,衍生性商品佔有率,店頭市場契約,遠期契約,交換契約,買入選擇權(OTC),賣出選擇權(OTC),交易所契約,期貨契約(長部位),期貨契約(短部位),買入選擇權(SEC),賣出選擇權(SEC)
,,,,,,,,,,,,
,"USD, M",%,"USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M","USD, M"
Dec-15,"13,292",1.09,"13,292","4,809",807,"3,837","3,837",0,0,0,0,0
Nov-15,"15,480",1.24,"15,480","5,490",603,"4,693","4,694",0,0,0,0,0
Oct-15,"19,174",1.51,"19,174","5,455",597,"6,560","6,561",0,0,0,0,0
Sep-15,"20,954",1.64,"20,954","5,107",604,"7,622","7,622",0,0,0,0,0
Aug-15,"24,140",1.77,"24,140","6,680",620,"8,419","8,421",0,0,0,0,0
Jul-15,"23,060",1.71,"23,060","5,518",597,"8,472","8,472",0,0,0,0,0
Jun-15,"22,432",1.7,"22,432","5,013",514,"8,451","8,453",0,0,0,0,0
May-15,"23,590",1.83,"23,590","6,096",517,"8,487","8,491",0,0,0,0,0
Apr-15,"22,533",1.73,"22,533","6,444",529,"7,778","7,782",0,0,0,0,0
Mar-15,"20,511",1.6,"20,511","5,181",540,"7,393","7,398",0,0,0,0,0
Feb-15,"20,708",1.63,"20,708","5,279",561,"7,431","7,437",0,0,0,0,0
Jan-15,"22,339",1.74,"22,339","5,125",540,"8,334","8,340",0,0,0,0,0
Dec-14,"18,670",1.51,"18,670","5,267",545,"6,426","6,432",0,0,0,0,0
Nov-14,"20,155",1.59,"20,155","4,755",557,"7,417","7,426",0,0,0,0,0
Oct-14,"21,508",1.66,"21,508","5,276",561,"7,831","7,840",0,0,0,0,0
Sep-14,"21,912",1.7,"21,912","4,764",626,"8,256","8,266",0,0,0,0,0
Aug-14,"19,492",1.56,"19,492","4,394",567,"7,266","7,266",0,0,0,0,0
Jul-14,"17,338",1.39,"17,338","4,822",343,"6,086","6,086",0,0,0,0,0
Jun-14,"15,521",1.23,"15,521","4,932",548,"5,020","5,020",0,0,0,0,0
May-14,"17,094",1.31,"17,094","5,640",499,"5,477","5,477",0,0,0,0,0
Apr-14,"18,668",1.4,"18,668","5,337",397,"6,467","6,467",0,0,0,0,0
Mar-14,"19,101",1.42,"19,101","5,436",446,"6,609","6,609",0,0,0,0,0
Feb-14,"17,079",1.28,"17,079","5,402",430,"5,623","5,623",0,0,0,0,0
Jan-14,"15,707",1.23,"15,707","5,364",491,"4,926","4,926",0,0,0,0,0
