個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,
,,,,,,,,,,,,,
,公營放款,民營放款,公營事業放款,民營事業放款,公營放款--全體,民營放款--全體,公營事業放款去年同期,公營放款,民營事業放款去年同期,民營放款,中小企業,中小企業,中小企業放款--全體
,,,月變動率％,月變動率％,占有率％,占有率％,,成長率％,,成長率％,放款,放款比重%,市占率%
,"NTD, M","NTD, M",,,,,"NTD, M",,"NTD, M",,"NTD, M",,
Dec-15,0,"87,762",0,2.83,0,0.94,0,0,"83,779",4.75,"3,438",3.79,0.06
Nov-15,0,"85,343",0,-1.68,0,0.91,0,0,"82,211",3.81,"4,116",4.67,0.08
Oct-15,0,"86,801",0,-0.75,0,0.93,0,0,"82,319",5.44,"4,194",4.68,0.08
Sep-15,0,"87,457",0,0.28,0,0.94,0,0,"82,610",5.87,"4,221",4.66,0.08
Aug-15,0,"87,215",0,3.43,0,0.94,0,0,"80,628",8.17,"4,226",4.7,0.08
Jul-15,0,"84,322",0,-1.85,0,0.92,0,0,"79,816",5.65,"4,249",4.88,0.08
Jun-15,0,"85,909",0,0.69,0,0.94,0,0,"79,895",7.53,"4,266",4.81,0.08
May-15,0,"85,320",0,2.08,0,0.94,0,0,"77,293",10.39,"4,183",4.75,0.08
Apr-15,0,"83,580",0,0.85,0,0.92,0,0,"75,567",10.6,"4,075",4.72,0.08
Mar-15,0,"82,879",0,-0.67,0,0.91,0,0,"75,670",9.53,"3,970",4.64,0.08
Feb-15,0,"83,440",0,1.67,0,0.92,0,0,"74,622",11.82,"3,795",4.41,0.07
Jan-15,0,"82,074",0,-2.04,0,0.9,0,0,"74,357",10.38,"3,817",4.51,0.07
Dec-14,0,"83,779",0,1.91,0,0.91,0,0,"71,326",17.46,"3,584",4.14,0.07
Nov-14,0,"82,211",0,-0.13,0,0.9,0,0,"68,775",19.54,"3,695",4.34,0.07
Oct-14,0,"82,319",0,-0.35,0,0.9,0,0,"68,324",20.48,"3,589",4.21,0.07
Sep-14,0,"82,610",0,2.46,0,0.91,0,0,"68,673",20.29,"3,385",3.96,0.07
Aug-14,0,"80,628",0,1.02,0,0.89,0,0,"66,725",20.84,"3,340",4,0.07
Jul-14,0,"79,816",0,-0.1,0,0.89,0,0,"65,427",21.99,"3,305",4,0.07
Jun-14,0,"79,895",0,3.37,0,0.9,0,0,"65,063",22.8,"3,320",4.01,0.07
May-14,0,"77,293",0,2.28,0,0.88,0,0,"61,509",25.66,"3,091",3.86,0.06
Apr-14,0,"75,567",0,-0.14,0,0.86,0,0,"61,328",23.22,"2,973",3.8,0.06
Mar-14,0,"75,670",0,1.41,0,0.87,0,0,"62,917",20.27,"2,803",3.58,0.06
Feb-14,0,"74,622",0,0.36,0,0.85,0,0,"62,081",20.2,"2,809",3.64,0.06
Jan-14,0,"74,357",0,4.25,0,0.85,0,0,"62,160",19.62,"3,024",3.93,0.06
Dec-13,0,"71,326",0,3.71,0,0.82,0,0,"62,666",13.82,"2,886",3.91,0.06
Nov-13,0,"68,775",0,0.66,0,0.79,0,0,"63,240",8.75,"2,802",3.96,0.06
Oct-13,0,"68,324",0,-0.51,0,0.79,0,0,"62,918",8.59,"2,395",3.42,0.05
Sep-13,0,"68,673",0,2.92,0,0.79,0,0,"63,808",7.62,"2,346",3.34,0.05
Aug-13,0,"66,725",0,1.98,0,0.78,0,0,"60,781",9.78,"2,429",3.56,0.05
Jul-13,0,"65,427",0,0.56,0,0.76,0,0,"60,433",8.26,"2,164",3.23,0.05
Jun-13,0,"65,063",0,5.78,0,0.76,0,0,"59,656",9.06,"2,148",3.24,0.05
May-13,0,"61,509",0,0.29,0,0.72,0,0,"59,584",3.23,"2,029",3.23,0.04
Apr-13,0,"61,328",0,-2.53,0,0.72,0,0,"59,444",3.17,"1,971",3.15,0.04
Mar-13,0,"62,917",0,1.35,0,0.74,0,0,"59,959",4.93,"1,980",3.08,0.04
Feb-13,0,"62,081",0,-0.13,0,0.73,0,0,"58,915",5.37,"1,798",2.84,0.04
Jan-13,0,"62,160",0,-0.81,0,0.74,0,0,"58,402",6.43,"1,806",2.85,0.04
Dec-12,0,"62,666",0,-0.91,0,0.73,0,0,"57,266",9.43,"1,826",2.86,0.04
Nov-12,0,"63,240",0,0.51,0,0.74,0,0,"56,734",11.47,"1,969",3.06,0.04
Oct-12,0,"62,918",0,-1.39,0,0.74,0,0,"56,544",11.27,"2,043",3.19,0.05
Sep-12,0,"63,808",0,4.98,0,0.75,0,0,"56,787",12.36,"2,022",3.12,0.05
Aug-12,0,"60,781",0,0.58,0,0.72,0,0,"55,426",9.66,"2,028",3.28,0.05
Jul-12,0,"60,433",0,1.3,0,0.72,0,0,"53,800",12.33,"2,861",4.64,0.07
Jun-12,0,"59,656",0,0.12,0,0.72,0,0,"53,097",12.35,"3,229",5.3,0.08
May-12,0,"59,584",0,0.24,0,0.71,0,0,"52,161",14.23,"3,198",5.27,0.08
