個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,消費貸款,消費貸款,消費貸款戶數去年同期,消費貸款餘額去年同期,消費貸款戶數,消費貸款餘額,消費戶數,消貸餘額,購屋貸款,購屋貸款,修繕貸款,修繕貸款,購車貸款,購車貸款,福利貸款,福利貸款,其他消貸,其他消貸
,戶數,餘額,(戶),,月變動率％,月變動率％,成長率％,成長率％,戶數,餘額,戶數,餘額,戶數,餘額,戶數,餘額,戶數,餘額
,,"NTD, M",,"NTD, M",,,,,,"NTD, M",,"NTD, M",,"NTD, M",,"NTD, M",,"NTD, M"
Dec-15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
May-15,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Apr-15,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Mar-15,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Feb-15,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Jan-15,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Dec-14,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Nov-14,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Oct-14,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Sep-14,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Aug-14,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Jul-14,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
Jun-14,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
May-14,1,0,1,0,0,-15.7,0,-68.69,1,0,0,0,0,0,0,0,0,0
Apr-14,1,0,1,0,0,-13.52,0,-64.83,1,0,0,0,0,0,0,0,0,0
Mar-14,1,0,1,0,0,-11.9,0,-61.38,1,0,0,0,0,0,0,0,0,0
Feb-14,1,0,1,0,0,-10.58,0,-58.26,1,0,0,0,0,0,0,0,0,0
Jan-14,1,0,1,0,0,-9.54,0,-55.43,1,0,0,0,0,0,0,0,0,0
Dec-13,1,0,1,0,0,-8.69,0,-52.86,1,0,0,0,0,0,0,0,0,0
Nov-13,1,0,1,0,0,-7.96,0,-50.51,1,0,0,0,0,0,0,0,0,0
Oct-13,1,0,1,0,0,-7.36,0,-48.36,1,0,0,0,0,0,0,0,0,0
Sep-13,1,0,1,0,0,-6.83,0,-46.37,1,0,0,0,0,0,0,0,0,0
Aug-13,1,0,1,0,0,-6.37,0,-44.54,1,0,0,0,0,0,0,0,0,0
Jul-13,1,0,1,0,0,-5.98,0,-42.84,1,0,0,0,0,0,0,0,0,0
Jun-13,1,0,1,0,0,-5.62,0,-41.25,1,0,0,0,0,0,0,0,0,0
May-13,1,0,1,0,0,-5.31,0,-39.78,1,0,0,0,0,0,0,0,0,0
Apr-13,1,0,1,0,0,-5.02,0,-38.41,1,0,0,0,0,0,0,0,0,0
Mar-13,1,0,1,0,0,-4.79,0,-37.12,1,0,0,0,0,0,0,0,0,0
