個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,貼現透支,短期放款,中長期放款,進出口押匯,放款貼現合計,放款月底餘額,放款貼現--分國內外,放款貼現去年同期,放款貼現,月平均放款,月平均放款,月平均放款,月平均放款--全體,月平均放款去年同期,放款貼現--全體,逾放比率,土地融資貸款
,,,,,合計,月變動率％,占有率％,,成長率％,,月變動率％,成長率％,占有率％,,占有率％,%,
,"NTD, M","NTD, M","NTD, M","NTD, M","NTD, M",,,"NTD, M",,"NTD, M",,,,"NTD, M",,,"NTD, M"
Dec-15,0,"31,544","96,208","1,409","129,161",3.28,0.51,"117,878",9.57,"127,493",0,6.96,0.48,"119,193",0.49,0.28,-
Nov-15,0,"29,086","94,712","1,259","125,057",-1.68,0.49,"120,208",4.03,"127,493",0.32,5.49,0.48,"120,856",0.46,0.28,-
Oct-15,0,"29,386","95,968","1,843","127,197",-0.22,0.5,"120,693",5.39,"127,092",-0.63,4.68,0.48,"121,406",0.47,0.28,-
Sep-15,0,"29,690","96,212","1,576","127,479",0.06,0.5,"120,978",5.37,"127,904",1.31,7.06,0.48,"119,465",0.47,0.28,-
Aug-15,0,"29,515","96,046","1,836","127,397",2.48,0.5,"117,665",8.27,"126,251",1.66,8.31,0.48,"116,568",0.47,0.28,-
Jul-15,0,"28,428","94,231","1,659","124,317",-0.56,0.49,"115,980",7.19,"124,195",0.24,8.73,0.47,"114,222",0.47,0.31,-
Jun-15,0,"27,478","94,771","2,763","125,012",1.76,0.5,"114,900",8.8,"123,896",0.71,11.1,0.48,"111,517",0.47,0.29,-
May-15,0,"26,761","93,717","2,369","122,846",1.08,0.49,"109,344",12.35,"123,022",1.49,14.09,0.47,"107,828",0.46,0.27,"3,224"
Apr-15,0,"26,308","91,937","3,292","121,537",-1,0.49,"107,372",13.19,"121,212",0.06,13.65,0.47,"106,656",0.46,0.28,"3,227"
Mar-15,0,"26,144","92,760","3,855","122,760",1.79,0.49,"108,432",13.21,"121,137",0.94,13.06,0.46,"107,147",0.46,0.27,"3,190"
Feb-15,0,"22,011","95,134","3,459","120,604",2.71,0.48,"105,825",13.97,"120,011",2.22,12.84,0.46,"106,356",0.46,0.28,"3,190"
Jan-15,0,"19,905","94,124","3,397","117,426",-0.38,0.47,"106,206",10.56,"117,408",-1.5,11.5,0.45,"105,298",0.45,0.34,"3,518"
Dec-14,0,"19,852","95,327","2,699","117,878",-1.94,0.47,"104,115",13.22,"119,193",-1.38,18.36,0.46,"100,702",0.45,0.34,"3,564"
Nov-14,0,"23,358","92,746","4,104","120,208",-0.4,0.49,"95,207",26.26,"120,856",-0.45,27.27,0.47,"94,957",0.46,0.35,"3,380"
Oct-14,0,"23,192","92,527","4,974","120,693",-0.24,0.49,"94,702",27.45,"121,406",1.62,29.36,0.47,"93,852",0.46,0.35,"3,380"
Sep-14,0,"24,856","91,363","4,759","120,978",2.82,0.49,"92,651",30.57,"119,465",2.49,32.19,0.46,"90,371",0.46,0.35,"3,380"
Aug-14,0,"23,978","89,027","4,659","117,665",1.45,0.48,"88,604",32.8,"116,568",2.05,32.95,0.46,"87,680",0.45,0.36,"3,372"
Jul-14,0,"23,571","88,400","4,008","115,980",0.94,0.47,"86,855",33.53,"114,222",2.43,33.78,0.45,"85,380",0.45,0.37,"3,372"
Jun-14,0,"23,664","88,355","2,881","114,900",5.08,0.47,"85,040",35.11,"111,517",3.42,36.44,0.44,"81,731",0.45,0.37,"3,372"
May-14,0,"22,470","85,664","1,210","109,344",1.84,0.45,"80,318",36.14,"107,828",1.1,35.28,0.43,"79,709",0.43,0.39,"3,352"
Apr-14,0,"22,013","83,943","1,416","107,372",-0.98,0.44,"81,223",32.19,"106,656",-0.46,31.58,0.42,"81,060",0.42,0.4,"3,249"
Mar-14,0,"23,813","83,405","1,213","108,432",2.46,0.45,"81,583",32.91,"107,147",0.74,30.43,0.43,"82,152",0.43,0.45,"3,249"
Feb-14,0,"22,034","83,203",588,"105,825",-0.36,0.44,"81,962",29.11,"106,356",1,29.32,0.43,"82,239",0.42,0.46,"3,237"
Jan-14,0,"22,227","83,223",755,"106,206",2.01,0.44,"81,366",30.53,"105,298",4.56,30.58,0.43,"80,642",0.42,0.49,"3,209"
Dec-13,0,"22,172","80,507","1,435","104,115",9.36,0.44,"80,417",29.47,"100,702",6.05,25.17,0.41,"80,454",0.42,0.47,"3,233"
Nov-13,0,"16,031","77,974","1,203","95,207",0.53,0.41,"81,564",16.73,"94,957",1.18,16.04,0.39,"81,831",0.39,0.52,"3,154"
Oct-13,0,"15,677","77,640","1,385","94,702",2.21,0.41,"81,668",15.96,"93,852",3.85,14.93,0.39,"81,663",0.39,0.52,"3,236"
Sep-13,0,"13,978","77,868",805,"92,651",4.57,0.4,"82,180",12.74,"90,371",3.07,12.13,0.38,"80,596",0.38,0.65,"3,236"
Aug-13,0,"12,614","75,284",705,"88,604",2.01,0.38,"77,896",13.75,"87,680",2.69,13.27,0.37,"77,408",0.36,0.68,"2,762"
Jul-13,0,"12,506","73,731",617,"86,855",2.13,0.38,"78,123",11.18,"85,380",4.46,11.26,0.36,"76,737",0.36,0.69,"2,669"
Jun-13,0,"12,015","72,894",130,"85,040",5.88,0.37,"77,320",9.98,"81,731",2.54,5.95,0.35,"77,138",0.35,0.68,"2,305"
