個  股  總  覽 -- 2897 臺工銀,,,,,,,
,,,,,,,
,台幣保證,外幣保證,保證款項--全體,保證款項餘額,保證款項,保證款項--全體,保證款項餘額去年同期
,,,,月變動率％,成長率％,占有率％,
,"NTD, M","NTD, M","NTD, M",,,,"NTD, M"
Dec-15,-,-,"6,206",21.41,28.45,0.54,"4,831"
Nov-15,-,-,"5,111",-2.87,8.79,0.44,"4,699"
Oct-15,-,-,"5,263",2.68,3.91,0.45,"5,064"
Sep-15,-,-,"5,125",-4.8,1.78,0.44,"5,035"
Aug-15,-,-,"5,384",-2.07,21,0.46,"4,449"
Jul-15,-,-,"5,497",6.41,22.83,0.49,"4,475"
Jun-15,-,-,"5,166",7.28,26.04,0.46,"4,098"
May-15,-,-,"4,815",-0.61,19.1,0.42,"4,043"
Apr-15,-,-,"4,845",-3.75,23.01,0.43,"3,939"
Mar-15,-,-,"5,034",4.41,28.5,0.44,"3,917"
Feb-15,-,-,"4,821",-1.54,17.8,0.42,"4,092"
Jan-15,-,-,"4,896",1.35,22.46,0.42,"3,998"
Dec-14,-,-,"4,831",2.83,27.02,0.42,"3,804"
Nov-14,-,-,"4,699",-7.22,17.95,0.4,"3,983"
Oct-14,-,-,"5,064",0.58,23.4,0.43,"4,104"
Sep-14,-,-,"5,035",13.17,25.12,0.42,"4,025"
Aug-14,-,-,"4,449",-0.58,18.68,0.37,"3,749"
Jul-14,-,-,"4,475",9.19,6.88,0.38,"4,187"
Jun-14,-,-,"4,098",1.37,-1.75,0.34,"4,171"
May-14,-,-,"4,043",2.65,-4.32,0.34,"4,226"
Apr-14,-,-,"3,939",0.55,-2.87,0.33,"4,055"
Mar-14,-,-,"3,917",-4.28,-8.8,0.32,"4,295"
Feb-14,-,-,"4,092",2.35,1.94,0.33,"4,014"
Jan-14,-,-,"3,998",5.12,-16.39,0.33,"4,782"
Dec-13,-,-,"3,804",-4.51,-23.27,0.31,"4,957"
Nov-13,-,-,"3,983",-2.94,-15.42,0.33,"4,709"
Oct-13,-,-,"4,104",1.97,-8.78,0.34,"4,499"
Sep-13,-,-,"4,025",7.35,-9.21,0.33,"4,433"
Aug-13,-,-,"3,749",-10.46,-15.89,0.31,"4,457"
Jul-13,-,-,"4,187",0.37,7.75,0.35,"3,886"
Jun-13,-,-,"4,171",-1.28,19.9,0.35,"3,479"
May-13,-,-,"4,226",4.21,18.48,0.36,"3,566"
Apr-13,-,-,"4,055",-5.59,17.08,0.34,"3,463"
Mar-13,-,-,"4,295",6.99,16.62,0.36,"3,683"
Feb-13,-,-,"4,014",-16.05,2.9,0.34,"3,901"
Jan-13,-,-,"4,782",-3.53,23.7,0.41,"3,866"
Dec-12,-,-,"4,957",5.26,26.7,0.43,"3,913"
Nov-12,-,-,"4,709",4.67,-0.14,0.41,"4,716"
Oct-12,-,-,"4,499",1.5,1.5,0.39,"4,433"
Sep-12,-,-,"4,433",-0.55,-9.03,0.38,"4,873"
Aug-12,-,-,"4,457",14.7,-7.86,0.38,"4,837"
Jul-12,-,-,"3,886",11.7,-18.58,0.33,"4,773"
Jun-12,-,-,"3,479",-2.45,-24.09,0.29,"4,583"
May-12,-,-,"3,566",2.98,-26.41,0.3,"4,846"
Apr-12,-,-,"3,463",-5.96,-19.91,0.29,"4,324"
Mar-12,-,-,"3,683",-5.6,-17.31,0.31,"4,454"
Feb-12,-,-,"3,901",0.92,-24.06,0.34,"5,138"
Jan-12,-,-,"3,866",-1.19,-21.36,0.33,"4,916"
Dec-11,-,-,"3,913",-17.03,-27.89,0.34,"5,426"
Nov-11,-,-,"4,716",6.39,-14.49,0.4,"5,515"
Oct-11,-,-,"4,433",-9.04,-25.13,0.38,"5,920"
Sep-11,-,-,"4,873",0.74,-24.43,0.42,"6,449"
Aug-11,-,-,"4,837",1.35,-19.04,0.43,"5,975"
Jul-11,-,-,"4,773",4.13,-27.81,0.42,"6,612"
Jun-11,-,-,"4,583",-5.43,-29.14,0.4,"6,468"
May-11,-,-,"4,846",12.08,-28.62,0.45,"6,790"
Apr-11,-,-,"4,324",-2.91,-40.02,0.4,"7,210"
Mar-11,-,-,"4,454",-13.31,-39.14,0.43,"7,318"
Feb-11,-,-,"5,138",4.5,-37.23,0.49,"8,184"
Jan-11,-,-,"4,916",-9.4,-39.35,0.47,"8,106"
Dec-10,-,-,"5,426",-1.61,-29.34,0.53,"7,679"
Nov-10,-,-,"5,515",-6.84,-41.56,0.55,"9,437"
Oct-10,-,-,"5,920",-8.19,-33.7,0.59,"8,930"
Sep-10,-,-,"6,449",7.92,-32.85,0.65,"9,603"
Aug-10,-,-,"5,975",-9.63,-42.62,0.61,"10,412"
Jul-10,-,-,"6,612",2.22,-42.68,0.68,"11,535"
Jun-10,-,-,"6,468",-4.74,-41.72,0.65,"11,099"
May-10,-,-,"6,790",-5.83,-42.07,0.7,"11,721"
Apr-10,-,-,"7,210",-1.48,-38.26,0.74,"11,678"
Mar-10,-,-,"7,318",-10.58,-30.13,0.77,"10,474"
Feb-10,-,-,"8,184",0.97,-16.72,0.84,"9,828"
Jan-10,-,-,"8,106",5.55,-17.09,0.83,"9,776"
Dec-09,-,-,"7,679",-18.63,-12.1,0.79,"8,736"
Nov-09,-,-,"9,437",5.68,-5.31,0.97,"9,967"
Oct-09,-,-,"8,930",-7.02,-8.64,0.94,"9,774"
Sep-09,-,-,"9,603",-7.77,-9.58,1.03,"10,620"
Aug-09,-,-,"10,412",-9.73,11.08,1.1,"9,374"
Jul-09,-,-,"11,535",3.93,6.01,1.22,"10,881"
Jun-09,-,-,"11,099",-5.31,-7.22,1.16,"11,963"
May-09,-,-,"11,721",0.37,5.78,1.21,"11,080"
Apr-09,-,-,"11,678",11.5,10.29,1.2,"10,589"
Mar-09,-,-,"10,474",6.57,-5.39,1.05,"11,070"
Feb-09,-,-,"9,828",0.53,-9.49,0.98,"10,858"
Jan-09,-,-,"9,776",11.9,-11.22,0.95,"11,011"
Dec-08,0,0,"8,736",-12.34,-18.9,0.86,"10,773"
Nov-08,0,0,"9,967",1.97,-8.93,0.95,"10,944"
Oct-08,0,0,"9,774",-7.96,-14.21,0.92,"11,393"
Sep-08,0,0,"10,620",13.3,-5.62,1,"11,253"
Aug-08,"7,459","1,915","9,374",-13.85,-16.32,0.87,"11,202"
Jul-08,"9,028","1,853","10,881",-9.05,6.8,0.99,"10,187"
Jun-08,"10,079","1,884","11,963",7.97,6.7,1.11,"11,212"
May-08,"9,193","1,887","11,080",4.64,-5.53,1.03,"11,729"
Apr-08,"8,809","1,780","10,589",-4.34,-15.34,0.98,"12,508"
Mar-08,"9,463","1,606","11,070",1.95,-12.36,1.05,"12,631"
Feb-08,"9,255","1,603","10,858",-1.39,-14.13,1.03,"12,645"
Jan-08,"9,344","1,668","11,011",2.21,-12.67,1.02,"12,609"
Dec-07,"9,187","1,585","10,773",-1.57,-13.64,1,"12,474"
Nov-07,"9,366","1,578","10,944",-3.94,-10.63,1.04,"12,246"
Oct-07,"9,972","1,421","11,393",1.24,-9.54,1.11,"12,595"
Sep-07,"9,745","1,508","11,253",0.46,-9.59,1.1,"12,446"
Aug-07,"9,762","1,440","11,202",9.96,-10.59,1.11,"12,529"
Jul-07,"8,989","1,198","10,187",-9.14,-18.63,1.01,"12,520"
Jun-07,"10,032","1,180","11,212",-4.41,-13.5,1.11,"12,961"
May-07,"10,590","1,139","11,729",-6.23,-2.21,1.16,"11,994"
Apr-07,"11,431","1,077","12,508",-0.98,3.57,1.23,"12,077"
Mar-07,"11,561","1,071","12,631",-0.11,1.49,1.22,"12,446"
Feb-07,"11,578","1,067","12,645",0.28,-2.83,1.22,"13,013"
Jan-07,"11,568","1,041","12,609",1.08,-7.84,1.21,"13,682"
Dec-06,"11,358","1,116","12,474",1.86,0.81,1.21,"12,374"
Nov-06,"11,204","1,042","12,246",-2.77,2.05,1.18,"12,000"
Oct-06,"11,385","1,210","12,595",1.19,10.74,1.16,"11,373"
Sep-06,"11,170","1,277","12,446",-0.66,11.55,1.16,"11,157"
Aug-06,"11,341","1,188","12,529",0.08,19.18,1.17,"10,513"
Jul-06,"11,255","1,264","12,520",-3.4,19.04,1.17,"10,518"
Jun-06,"11,710","1,250","12,961",8.06,20.46,1.22,"10,760"
May-06,"11,111",883,"11,994",-0.69,14.59,1.12,"10,467"
Apr-06,"11,328",750,"12,077",-2.97,25.42,1.13,"9,629"
Mar-06,"11,730",717,"12,446",-4.35,28.8,1.53,"9,663"
Feb-06,"12,211",802,"13,013",-4.89,35.23,1.58,"9,623"
Jan-06,"12,730",952,"13,682",10.57,53.28,1.27,"8,926"
Dec-05,0,0,0,0,0,0,"8,868"
