,Year,Sector,USD,YoY
1,1984,A,1113,0
2,1984,B,3623,0
3,1984,C,668,0
4,1984,D,2416,0
5,1984,E,1494,0
6,1984,F,445,0
7,1984,G,1462,0
8,1984,H,763,0
9,1984,I,1707,0
10,1985,A,1333,19.76639712
11,1985,B,3110,-14.1595363
12,1985,C,603,-9.730538922
13,1985,D,2412,-0.165562914
14,1985,E,1619,8.366800535
15,1985,F,413,-7.191011236
16,1985,G,1492,2.051983584
17,1985,H,793,3.931847969
18,1985,I,2095,22.72993556
19,1986,A,2469,85.22130533
20,1986,B,4032,29.64630225
21,1986,C,864,43.28358209
22,1986,D,2880,19.40298507
23,1986,E,2222,37.24521309
24,1986,F,617,49.39467312
25,1986,G,1975,32.37265416
26,1986,H,1029,29.76040353
27,1986,I,1934,-7.6849642
28,1987,A,3812,54.3944917
29,1987,B,5713,41.69146825
30,1987,C,1194,38.19444444
31,1987,D,3644,26.52777778
32,1987,E,2945,32.53825383
33,1987,F,801,29.82171799
34,1987,G,3100,56.96202532
35,1987,H,1511,46.84159378
36,1987,I,2371,22.59565667
37,1988,A,5023,31.76810073
38,1988,B,6713,17.50393839
39,1988,C,1466,22.78056951
40,1988,D,4589,25.93304061
41,1988,E,3849,30.69609508
42,1988,F,1117,39.45068664
43,1988,G,4138,33.48387097
44,1988,H,1996,32.09794838
45,1988,I,2702,13.96035428
46,1989,A,4451,-11.38761696
47,1989,B,8068,20.18471622
48,1989,C,1668,13.77899045
49,1989,D,5158,12.39921552
50,1989,E,4317,12.15900234
51,1989,F,1055,-5.550581916
52,1989,G,4607,11.33397777
53,1989,H,2175,8.967935872
54,1989,I,4155,53.7749815
55,1990,A,4956,11.345765
56,1990,B,7435,-7.84581061
57,1990,C,1630,-2.278177458
58,1990,D,5559,7.774331136
59,1990,E,4354,0.857076674
60,1990,F,1375,30.33175355
61,1990,G,5517,19.75255047
62,1990,H,2400,10.34482759
63,1990,I,4143,-0.288808664
64,1991,A,5860,18.24051655
65,1991,B,7787,4.734364492
66,1991,C,1983,21.65644172
67,1991,D,5729,3.058103976
68,1991,E,5041,15.7785944
69,1991,F,1521,10.61818182
70,1991,G,6068,9.987311945
71,1991,H,2510,4.583333333
72,1991,I,4961,19.74414675
73,1992,A,6601,12.64505119
74,1992,B,8388,7.717991524
75,1992,C,2202,11.04387292
76,1992,D,6313,10.19375109
77,1992,E,5373,6.585994842
78,1992,F,1813,19.19789612
79,1992,G,7065,16.43045485
80,1992,H,2983,18.84462151
81,1992,I,4695,-5.361822213
82,1993,A,8525,29.14709892
83,1993,B,10061,19.94515975
84,1993,C,2108,-4.268846503
85,1993,D,6736,6.70045937
86,1993,E,5826,8.431044109
87,1993,F,2016,11.1969112
88,1993,G,6970,-1.344656759
89,1993,H,3289,10.2581294
90,1993,I,7178,52.88604899
91,1994,A,10803,26.72140762
92,1994,B,12176,21.02176722
93,1994,C,2254,6.925996205
94,1994,D,7807,15.89964371
95,1994,E,6126,5.149330587
96,1994,F,2220,10.11904762
97,1994,G,7124,2.209469154
98,1994,H,3798,15.47582852
99,1994,I,7726,7.634438562
100,1995,A,15248,41.14597797
101,1995,B,16311,33.96024967
102,1995,C,2389,5.989352263
103,1995,D,9324,19.43127962
104,1995,E,7662,25.07345739
105,1995,F,3037,36.8018018
106,1995,G,7594,6.597417181
107,1995,H,4132,8.794102159
108,1995,I,9534,23.40150142
109,1996,A,18150,19.0320042
110,1996,B,17001,4.230274048
111,1996,C,2374,-0.627877773
112,1996,D,9793,5.03003003
113,1996,E,7562,-1.305142261
114,1996,F,3698,21.76489957
115,1996,G,7871,3.647616539
