項次 ,日期,存續,消滅,更名
1,93.09.04 ,玉山商業銀行 ,高雄區中小企業銀行 ,
2,93.09.30 ,新光金融控股公司 ,聯信商業銀行 ,
3,93.10.01 ,中國信託商業銀行,鳳山信用合作社 ,
4,93.10.18 ,台新國際商業銀行 ,新竹第十信用合作社 ,
5,94.01.01,台北銀行 ,富邦商業銀行,台北富邦商業銀行
6,94.03.07,板信商業銀行 ,嘉義市第一信用合作社 ,
7,94.03.19,聯邦商業銀行 ,中興商業銀行 ,
8,94.06.17,元大商業銀行 ,台南市第七信用合作社 ,
9,94.08.06,日盛金融控股公司 ,台灣土地開發信託投資公司（信託部）,
10,94.09.02,國泰金融控股公司 ,第七商業銀行 ,
11,94.10.03,新光金融控股公司 ,誠泰商業銀行 ,
12,94.11.26,陽信商業銀行 ,高新商業銀行 ,
13,94.12.23,元大商業銀行 ,台南第六信用合作社 ,
14,94.12.26,建華金融控股公司 ,台北國際商業銀行,永豐金融控股公司
15,94.12.31,誠泰商業銀行,台灣新光商業銀行,台灣新光商業銀行
16,95.01.01,三信商業銀行 ,豐原信用合作社,
17,95.05.01,合作金庫商業銀行 ,中國農民銀行,
18,95.08.21,中國國際商業銀行 ,交通銀行,兆豐國際商業銀行
19,95.11.13,建華商業銀行,台北國際商業銀行,永豐商業銀行
20,95.12.25,台北富邦商業銀行,富邦票券金融公司,
21,95.12.25,玉山商業銀行 ,玉山票券金融公司,
22,96.01.01 ,國泰世華商業銀行 ,第七商業銀行 ,
23,96.06.30,英商渣打銀行,新竹商業銀行,
24,96.07.01,台灣銀行,中央信託局,
25,96.09.08,中國信託商業銀行,花蓮區中小企業銀行,
26,96.09.22,荷商荷蘭銀行,台東區中小企業銀行,
27,96.12.01,花旗（台灣）商業銀行,華僑商業銀行,
28,96.12.29,國泰世華商業銀行 ,中聯信託投資公司 ,
29,97.03.29,香港上海匯豐銀行,中華商業銀行,
30,97.04.26,中國信託商業銀行,中國信託票券金融公司,
31,97.05.24,新加坡商星展銀行,寶華商業銀行,
32,97.05.23,華南商業銀行,華南票券金融公司,
33,97.08.01,渣打國際商業銀行,美國運通銀行,
34,97.12.27,渣打國際商業銀行,亞洲信託投資公司,
35,98.02.11,富邦金融控股公司,安泰人壽保險公司,
36,98.06.01,永豐商業銀行,永豐信用卡公司,
37,98.09.01,遠東國際商業銀行,友邦國際信用卡公司,
38,98.09.01,大眾商業銀行,高雄第二信用合作社,
39,99.04.03,元大商業銀行,慶豐商業銀行（18家分行）,
40,99.04.03,遠東國際商業銀行,慶豐商業銀行（19家分行）,
41,99.08.16,聯邦商業銀行,聯邦票券金融公司,
42,100.01.22,台新國際商業銀行,台新票券金融公司,
43,100.07.09 ,玉山商業銀行 ,竹南信用合作社 ,
44,100.10.03 ,元大金融控股公司,寶來證券公司,
45,100.11.01,中國信託金融控股公司,大都會人壽保險公司,中國信託人壽保險公司
46,101.06.06,中華開發金融控股公司,凱基證券公司,
47,101.11.03,玉山商業銀行,嘉義第四信用合作社,
48,101.11.09,中國信託金融控股公司,富鼎證券投資信託公司,中國信託證券投資信託公司
49,103.01.01,元大金融控股公司,國際紐約人壽保險公司,元大人壽保險公司
50,103.07.21,板信商業銀行,台北市第九信用合作社,
51,103.09.15,中華開發金融控股公司,萬泰商業銀行,凱基商業銀行
52,104.10.15,中國信託金融控股公司,台灣人壽保險公司,
